日期,買入,賣出
2022/09/29,52697.00,53187.00
2022/09/28,52713.00,53203.00
2022/09/27,51644.00,52134.00
2022/09/26,51815.00,52305.00
2022/09/23,51923.00,52413.00
2022/09/22,52613.00,53103.00
2022/09/21,52197.00,52687.00
2022/09/20,52034.00,52524.00
2022/09/19,52254.00,52744.00
2022/09/16,52211.00,52701.00
2022/09/15,51581.00,52071.00
2022/09/14,52721.00,53211.00
2022/09/13,52334.00,52824.00
2022/09/12,53329.00,53819.00
2022/09/08,52486.00,52976.00
2022/09/07,52667.00,53157.00
2022/09/06,52162.00,52652.00
2022/09/05,52320.00,52810.00
2022/09/02,52247.00,52737.00
2022/09/01,51558.00,52048.00
2022/08/31,52004.00,52494.00
2022/08/30,52322.00,52812.00
2022/08/29,52669.00,53159.00
2022/08/26,52206.00,52696.00
2022/08/25,52810.00,53300.00
2022/08/24,52779.00,53269.00
2022/08/23,52618.00,53108.00
2022/08/22,52029.00,52519.00
2022/08/19,52276.00,52766.00
2022/08/18,52564.00,53054.00
2022/08/17,52603.00,53093.00
2022/08/16,52990.00,53480.00
2022/08/15,53130.00,53620.00
2022/08/12,53643.00,54133.00
2022/08/11,53397.00,53887.00
2022/08/10,53746.00,54236.00
2022/08/09,53609.00,54099.00
2022/08/08,53431.00,53921.00
2022/08/05,52892.00,53382.00
2022/08/04,53401.00,53891.00
2022/08/03,52502.00,52992.00
2022/08/02,53188.00,53678.00
2022/08/01,52805.00,53295.00
2022/07/29,52553.00,53043.00
2022/07/28,52290.00,52780.00
2022/07/27,51258.00,51748.00
2022/07/26,51132.00,51622.00
2022/07/25,51095.00,51585.00
2022/07/22,51560.00,52050.00
2022/07/21,50965.00,51455.00
2022/07/20,50802.00,51292.00
2022/07/19,51006.00,51496.00
2022/07/18,50932.00,51422.00
2022/07/15,50795.00,51285.00
2022/07/14,50952.00,51442.00
2022/07/13,51616.00,52106.00
2022/07/12,51564.00,52054.00
2022/07/11,51585.00,52075.00
2022/07/08,51679.00,52169.00
2022/07/07,51608.00,52098.00
2022/07/06,51562.00,52052.00
2022/07/05,52357.00,52847.00
2022/07/04,53507.00,53997.00
2022/07/01,53472.00,53962.00
2022/06/30,53594.00,54084.00
2022/06/29,53723.00,54213.00
2022/06/28,53741.00,54231.00
2022/06/27,53769.00,54259.00
2022/06/24,54070.00,54560.00
2022/06/23,54358.00,54848.00
2022/06/22,54498.00,54988.00
2022/06/21,54309.00,54799.00
2022/06/20,54437.00,54927.00
2022/06/17,54449.00,54939.00
2022/06/16,54634.00,55124.00
2022/06/15,53898.00,54388.00
2022/06/14,53532.00,54022.00
2022/06/13,54055.00,54545.00
2022/06/10,55072.00,55562.00
2022/06/09,54240.00,54730.00
2022/06/08,54603.00,55093.00
2022/06/07,54388.00,54878.00
2022/06/06,53997.00,54487.00
2022/06/02,54664.00,55154.00
2022/06/01,53698.00,54188.00
2022/05/31,53353.00,53843.00
2022/05/30,53808.00,54298.00
2022/05/27,54163.00,54653.00
2022/05/26,54177.00,54667.00
2022/05/25,54349.00,54839.00
2022/05/24,55083.00,55573.00
2022/05/23,54614.00,55104.00
2022/05/20,54354.00,54844.00
2022/05/19,54631.00,55121.00
2022/05/18,53904.00,54394.00
2022/05/17,53891.00,54381.00
2022/05/16,53810.00,54300.00
2022/05/13,53738.00,54228.00
2022/05/12,54539.00,55029.00
2022/05/11,54820.00,55310.00
2022/05/10,54620.00,55110.00
2022/05/09,55058.00,55548.00
2022/05/06,55792.00,56282.00
2022/05/05,55260.00,55750.00
2022/05/04,54878.00,55368.00
2022/05/03,55051.00,55541.00
2022/04/29,55978.00,56468.00
2022/04/28,55511.00,56001.00
2022/04/27,55148.00,55638.00
2022/04/26,55517.00,56007.00
2022/04/25,55375.00,55865.00
2022/04/22,56445.00,56935.00
2022/04/21,56423.00,56913.00
2022/04/20,56850.00,57340.00
2022/04/19,56853.00,57343.00
2022/04/18,57765.00,58255.00
2022/04/15,57268.00,57758.00
2022/04/14,56715.00,57205.00
2022/04/13,57274.00,57764.00
2022/04/12,57277.00,57767.00
2022/04/11,56505.00,56995.00
2022/04/08,55902.00,56392.00
2022/04/07,55439.00,55929.00
2022/04/06,55165.00,55655.00
2022/04/01,54991.00,55481.00
2022/03/31,55297.00,55787.00
2022/03/30,55101.00,55591.00
2022/03/29,54806.00,55296.00
2022/03/28,55419.00,55909.00
2022/03/25,55742.00,56232.00
2022/03/24,55873.00,56363.00
2022/03/23,54782.00,55272.00
2022/03/22,54347.00,54837.00
2022/03/21,54820.00,55310.00
2022/03/18,54515.00,55005.00
2022/03/17,55041.00,55531.00
2022/03/16,54515.00,55005.00
2022/03/15,54651.00,55141.00
2022/03/14,55534.00,56024.00
2022/03/11,55884.00,56374.00
2022/03/10,56220.00,56710.00
2022/03/09,56498.00,56988.00
2022/03/08,58216.00,58706.00
2022/03/07,55665.00,56155.00
2022/03/04,54797.00,55287.00
2022/03/03,53812.00,54302.00
2022/03/02,53966.00,54456.00
2022/03/01,53599.00,54089.00
2022/02/25,52571.00,53061.00
2022/02/24,53696.00,54186.00
2022/02/23,52892.00,53382.00
2022/02/22,52643.00,53133.00
2022/02/21,52502.00,52992.00
2022/02/18,52484.00,52974.00
2022/02/17,52509.00,52999.00
2022/02/16,51655.00,52145.00
2022/02/15,51336.00,51826.00
2022/02/14,51831.00,52321.00
2022/02/11,50882.00,51372.00
2022/02/10,50811.00,51301.00
2022/02/09,50681.00,51171.00
2022/02/08,50562.00,51052.00
2022/02/07,50289.00,50779.00
2022/01/28,49472.00,49962.00
