資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,CNY,本行買入,4.29100,4.36300,4.36060,4.35590,4.35000,4.34430,4.33710,4.32990,4.32260,本行賣出,4.45300,4.41300,4.41170,4.40920,4.40410,4.40000,4.39580,4.39160,4.38730,
20220826,CNY,本行買入,4.30200,4.37400,4.37200,4.36810,4.36290,4.35810,4.35170,4.34520,4.33870,本行賣出,4.46400,4.42400,4.42300,4.42090,4.41630,4.41260,4.40780,4.40290,4.39800,
20220825,CNY,本行買入,4.30600,4.37800,4.37570,4.37110,4.36610,4.36090,4.35440,4.34790,4.34140,本行賣出,4.46800,4.42800,4.42700,4.42490,4.42070,4.41760,4.41350,4.40950,4.40540,
20220824,CNY,本行買入,4.30500,4.37700,4.37490,4.37060,4.36600,4.36130,4.35510,4.34890,4.34270,本行賣出,4.46700,4.42700,4.42600,4.42400,4.42000,4.41630,4.41210,4.40790,4.40360,
20220823,CNY,本行買入,4.29700,4.36900,4.36670,4.36210,4.35740,4.35240,4.34550,4.33860,4.33170,本行賣出,4.45900,4.41900,4.41780,4.41530,4.41120,4.40770,4.40340,4.39910,4.39470,
20220822,CNY,本行買入,4.29200,4.36400,4.36170,4.35700,4.35000,4.34510,4.33770,4.33030,4.32290,本行賣出,4.45400,4.41400,4.41170,4.40720,4.40470,4.40100,4.39690,4.39270,4.38860,
20220819,CNY,本行買入,4.30300,4.37500,4.37290,4.36870,4.36440,4.35960,4.35320,4.34680,4.34030,本行賣出,4.46500,4.42500,4.42380,4.42130,4.41780,4.41430,4.41040,4.40650,4.40260,
20220818,CNY,本行買入,4.30900,4.38100,4.37910,4.37520,4.37070,4.36560,4.35930,4.35300,4.34660,本行賣出,4.47100,4.43100,4.43000,4.42790,4.42430,4.42100,4.41670,4.41230,4.40790,
20220817,CNY,本行買入,4.32100,4.39300,4.39120,4.38760,4.38410,4.37990,4.37350,4.36700,4.36050,本行賣出,4.48300,4.44300,4.44210,4.44040,4.43710,4.43410,4.43010,4.42610,4.42210,
20220816,CNY,本行買入,4.31100,4.38300,4.38140,4.37810,4.37530,4.37170,4.36580,4.35990,4.35410,本行賣出,4.47300,4.43300,4.43250,4.43140,4.42850,4.42620,4.42270,4.41920,4.41570,
20220815,CNY,本行買入,4.33400,4.40600,4.40550,4.40450,4.39930,4.39470,4.38840,4.38210,4.37570,本行賣出,4.49600,4.45600,4.45520,4.45360,4.45140,4.44890,4.44450,4.44010,4.43570,
20220812,CNY,本行買入,4.35300,4.42500,4.42450,4.42350,4.41830,4.41370,4.40740,4.40110,4.39470,本行賣出,4.51500,4.47500,4.47420,4.47260,4.47040,4.46790,4.46350,4.45910,4.45470,
20220811,CNY,本行買入,4.34700,4.41900,4.41760,4.41480,4.41050,4.40640,4.39920,4.39210,4.38490,本行賣出,4.50900,4.46900,4.46870,4.46820,4.46530,4.46260,4.45900,4.45540,4.45170,
