資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,CAD,本行買入,23.11000,23.51000,23.49400,23.46100,23.41800,23.37000,23.30700,23.24300,23.18000,本行賣出,24.02000,23.71000,23.70100,23.68200,23.64000,23.59300,23.54200,23.49100,23.43900,
20220913,CAD,本行買入,23.32000,23.72000,23.70400,23.67100,23.62800,23.58000,23.51700,23.45300,23.39000,本行賣出,24.23000,23.92000,23.91100,23.89200,23.85000,23.80300,23.75200,23.70100,23.64900,
20220912,CAD,本行買入,23.27000,23.67000,23.65400,23.62100,23.57800,23.53000,23.46700,23.40300,23.34000,本行賣出,24.18000,23.87000,23.86100,23.84200,23.80000,23.75300,23.70200,23.65100,23.59900,
20220908,CAD,本行買入,23.04000,23.44000,23.42400,23.39100,23.34800,23.30000,23.23700,23.17300,23.11000,本行賣出,23.95000,23.64000,23.63100,23.61200,23.57000,23.52300,23.47200,23.42100,23.36900,
20220907,CAD,本行買入,22.98000,23.38000,23.36400,23.33100,23.28800,23.24000,23.17700,23.11300,23.05000,本行賣出,23.89000,23.58000,23.57100,23.55200,23.51000,23.46300,23.41200,23.36100,23.30900,
20220906,CAD,本行買入,22.97000,23.37000,23.35400,23.32100,23.27800,23.23000,23.16700,23.10300,23.04000,本行賣出,23.88000,23.57000,23.56100,23.54200,23.50000,23.45300,23.40200,23.35100,23.29900,
20220905,CAD,本行買入,22.82000,23.22000,23.20400,23.17100,23.12800,23.08000,23.01700,22.95300,22.89000,本行賣出,23.73000,23.42000,23.41100,23.39200,23.35000,23.30300,23.25200,23.20100,23.14900,
20220902,CAD,本行買入,22.77000,23.17000,23.15400,23.12100,23.07800,23.03000,22.96700,22.90300,22.84000,本行賣出,23.68000,23.37000,23.36100,23.34200,23.30000,23.25300,23.20200,23.15100,23.09900,
20220901,CAD,本行買入,22.69000,23.09000,23.07400,23.04100,22.99800,22.95000,22.88700,22.82300,22.76000,本行賣出,23.60000,23.29000,23.28100,23.26200,23.22000,23.17300,23.12200,23.07100,23.01900,
20220831,CAD,本行買入,22.76000,23.16000,23.14400,23.11100,23.06800,23.02000,22.95700,22.89300,22.83000,本行賣出,23.67000,23.36000,23.35100,23.33200,23.29000,23.24300,23.19200,23.14100,23.08900,
