資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,ZAR,本行買入,0.00000,1.75600,1.75300,1.74600,1.73800,1.72900,1.72000,1.71000,1.70100,本行賣出,0.00000,1.83600,1.83400,1.82900,1.82000,1.81200,1.80300,1.79400,1.78600,
20220826,ZAR,本行買入,0.00000,1.75600,1.75300,1.74600,1.73800,1.72900,1.72000,1.71000,1.70100,本行賣出,0.00000,1.83600,1.83400,1.82900,1.82000,1.81200,1.80300,1.79400,1.78600,
20220825,ZAR,本行買入,0.00000,1.75000,1.74700,1.74000,1.73200,1.72300,1.71400,1.70400,1.69500,本行賣出,0.00000,1.83000,1.82800,1.82300,1.81400,1.80600,1.79700,1.78800,1.78000,
20220824,ZAR,本行買入,0.00000,1.73800,1.73500,1.72800,1.72000,1.71100,1.70200,1.69200,1.68300,本行賣出,0.00000,1.81800,1.81600,1.81100,1.80200,1.79400,1.78500,1.77600,1.76800,
20220823,ZAR,本行買入,0.00000,1.73800,1.73500,1.72800,1.72000,1.71100,1.70200,1.69200,1.68300,本行賣出,0.00000,1.81800,1.81600,1.81100,1.80200,1.79400,1.78500,1.77600,1.76800,
20220822,ZAR,本行買入,0.00000,1.72100,1.71800,1.71100,1.70300,1.69400,1.68500,1.67500,1.66600,本行賣出,0.00000,1.80100,1.79900,1.79400,1.78500,1.77700,1.76800,1.75900,1.75100,
20220819,ZAR,本行買入,0.00000,1.73600,1.73300,1.72600,1.71800,1.70900,1.70000,1.69000,1.68100,本行賣出,0.00000,1.81600,1.81400,1.80900,1.80000,1.79200,1.78300,1.77400,1.76600,
20220818,ZAR,本行買入,0.00000,1.75100,1.74800,1.74100,1.73300,1.72400,1.71500,1.70500,1.69600,本行賣出,0.00000,1.83100,1.82900,1.82400,1.81500,1.80700,1.79800,1.78900,1.78100,
20220817,ZAR,本行買入,0.00000,1.77900,1.77600,1.76900,1.76100,1.75200,1.74300,1.73300,1.72400,本行賣出,0.00000,1.85900,1.85700,1.85200,1.84300,1.83500,1.82600,1.81700,1.80900,
20220816,ZAR,本行買入,0.00000,1.78100,1.77800,1.77100,1.76300,1.75400,1.74500,1.73500,1.72600,本行賣出,0.00000,1.86100,1.85900,1.85400,1.84500,1.83700,1.82800,1.81900,1.81100,
20220815,ZAR,本行買入,0.00000,1.80600,1.80300,1.79600,1.78800,1.77900,1.77000,1.76000,1.75100,本行賣出,0.00000,1.88600,1.88400,1.87900,1.87000,1.86200,1.85300,1.84400,1.83600,
20220812,ZAR,本行買入,0.00000,1.81100,1.80800,1.80100,1.79300,1.78400,1.77500,1.76500,1.75600,本行賣出,0.00000,1.89100,1.88900,1.88400,1.87500,1.86700,1.85800,1.84900,1.84100,
20220811,ZAR,本行買入,0.00000,1.81100,1.80800,1.80100,1.79300,1.78400,1.77500,1.76500,1.75600,本行賣出,0.00000,1.89100,1.88900,1.88400,1.87500,1.86700,1.85800,1.84900,1.84100,
20220810,ZAR,本行買入,0.00000,1.76900,1.76600,1.75900,1.75100,1.74200,1.73300,1.72300,1.71400,本行賣出,0.00000,1.84900,1.84700,1.84200,1.83300,1.82500,1.81600,1.80700,1.79900,
20220809,ZAR,本行買入,0.00000,1.76800,1.76500,1.75800,1.75000,1.74100,1.73200,1.72200,1.71300,本行賣出,0.00000,1.84800,1.84600,1.84100,1.83200,1.82400,1.81500,1.80600,1.79800,
20220808,ZAR,本行買入,0.00000,1.75800,1.75500,1.74800,1.74000,1.73100,1.72200,1.71200,1.70300,本行賣出,0.00000,1.83800,1.83600,1.83100,1.82200,1.81400,1.80500,1.79600,1.78800,
20220805,ZAR,本行買入,0.00000,1.76700,1.76400,1.75700,1.74900,1.74000,1.73100,1.72100,1.71200,本行賣出,0.00000,1.84700,1.84500,1.84000,1.83100,1.82300,1.81400,1.80500,1.79700,
20220804,ZAR,本行買入,0.00000,1.75100,1.74800,1.74100,1.73300,1.72400,1.71500,1.70500,1.69600,本行賣出,0.00000,1.83100,1.82900,1.82400,1.81500,1.80700,1.79800,1.78900,1.78100,
20220803,ZAR,本行買入,0.00000,1.75800,1.75500,1.74800,1.74000,1.73100,1.72200,1.71200,1.70300,本行賣出,0.00000,1.83800,1.83600,1.83100,1.82200,1.81400,1.80500,1.79600,1.78800,
20220802,ZAR,本行買入,0.00000,1.78400,1.78100,1.77400,1.76600,1.75700,1.74800,1.73800,1.72900,本行賣出,0.00000,1.86400,1.86200,1.85700,1.84800,1.84000,1.83100,1.82200,1.81400,
20220801,ZAR,本行買入,0.00000,1.77400,1.77100,1.76400,1.75600,1.74700,1.73800,1.72800,1.71900,本行賣出,0.00000,1.85400,1.85200,1.84700,1.83800,1.83000,1.82100,1.81200,1.80400,
20220729,ZAR,本行買入,0.00000,1.78200,1.77900,1.77200,1.76400,1.75500,1.74600,1.73600,1.72700,本行賣出,0.00000,1.86200,1.86000,1.85500,1.84600,1.83800,1.82900,1.82000,1.81200,
20220728,ZAR,本行買入,0.00000,1.75000,1.74700,1.74100,1.73300,1.72200,1.71200,1.70300,1.69300,本行賣出,0.00000,1.83000,1.82800,1.82400,1.81500,1.80900,1.79900,1.78900,1.77900,
20220727,ZAR,本行買入,0.00000,1.73500,1.73200,1.72600,1.71800,1.70700,1.69700,1.68800,1.67800,本行賣出,0.00000,1.81500,1.81300,1.80900,1.80000,1.79400,1.78400,1.77400,1.76400,
