資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,SGD,本行買入,21.16000,21.65000,21.63900,21.61600,21.58200,21.55000,21.50400,21.45900,21.41300,本行賣出,22.07000,21.83000,21.82700,21.82100,21.78800,21.75700,21.72100,21.68600,21.65000,
20220826,SGD,本行買入,21.14000,21.63000,21.61900,21.59600,21.56200,21.53000,21.48400,21.43900,21.39300,本行賣出,22.05000,21.81000,21.80700,21.80100,21.76800,21.73700,21.70100,21.66600,21.63000,
20220825,SGD,本行買入,21.16000,21.65000,21.63900,21.61600,21.58200,21.55000,21.50400,21.45900,21.41300,本行賣出,22.07000,21.83000,21.82700,21.82100,21.78800,21.75700,21.72100,21.68600,21.65000,
20220824,SGD,本行買入,21.14000,21.63000,21.61900,21.59600,21.56200,21.53000,21.48400,21.43900,21.39300,本行賣出,22.05000,21.81000,21.80700,21.80100,21.76800,21.73700,21.70100,21.66600,21.63000,
20220823,SGD,本行買入,21.05000,21.54000,21.52900,21.50600,21.47200,21.44000,21.39400,21.34900,21.30300,本行賣出,21.96000,21.72000,21.71700,21.71100,21.67800,21.64700,21.61100,21.57600,21.54000,
20220822,SGD,本行買入,21.00000,21.49000,21.47900,21.45600,21.42200,21.39000,21.34400,21.29900,21.25300,本行賣出,21.91000,21.67000,21.66700,21.66100,21.62800,21.59700,21.56100,21.52600,21.49000,
20220819,SGD,本行買入,21.05000,21.54000,21.52900,21.50600,21.47200,21.44000,21.39400,21.34900,21.30300,本行賣出,21.96000,21.72000,21.71700,21.71100,21.67800,21.64700,21.61100,21.57600,21.54000,
20220818,SGD,本行買入,21.11000,21.60000,21.58900,21.56600,21.53200,21.50000,21.45400,21.40900,21.36300,本行賣出,22.02000,21.78000,21.77700,21.77100,21.73800,21.70700,21.67100,21.63600,21.60000,
20220817,SGD,本行買入,21.13000,21.62000,21.60900,21.58600,21.55200,21.52000,21.47400,21.42900,21.38300,本行賣出,22.04000,21.80000,21.79700,21.79100,21.75800,21.72700,21.69100,21.65600,21.62000,
20220816,SGD,本行買入,21.18000,21.67000,21.65900,21.63600,21.60200,21.57000,21.52400,21.47900,21.43300,本行賣出,22.09000,21.85000,21.84700,21.84100,21.80800,21.77700,21.74100,21.70600,21.67000,
20220815,SGD,本行買入,21.27000,21.76000,21.74900,21.72600,21.69200,21.66000,21.61400,21.56900,21.52300,本行賣出,22.18000,21.94000,21.93700,21.93100,21.89800,21.86700,21.83100,21.79600,21.76000,
20220812,SGD,本行買入,21.30000,21.79000,21.77900,21.75600,21.72200,21.69000,21.64400,21.59900,21.55300,本行賣出,22.21000,21.97000,21.96700,21.96100,21.92800,21.89700,21.86100,21.82600,21.79000,
20220811,SGD,本行買入,21.29000,21.78000,21.76900,21.74600,21.71200,21.68000,21.63400,21.58900,21.54300,本行賣出,22.20000,21.96000,21.95700,21.95100,21.91800,21.88700,21.85100,21.81600,21.78000,
