資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,JPY,本行買入,0.20990,0.21720,0.21720,0.21730,0.21750,0.21770,0.21790,0.21810,0.21830,本行賣出,0.22270,0.22120,0.22130,0.22150,0.22180,0.22200,0.22240,0.22270,0.22310,
20220826,JPY,本行買入,0.21130,0.21860,0.21860,0.21870,0.21890,0.21910,0.21930,0.21950,0.21970,本行賣出,0.22410,0.22260,0.22270,0.22290,0.22320,0.22340,0.22380,0.22410,0.22450,
20220825,JPY,本行買入,0.21200,0.21930,0.21940,0.21950,0.21960,0.21990,0.22010,0.22030,0.22050,本行賣出,0.22480,0.22330,0.22340,0.22360,0.22390,0.22420,0.22450,0.22490,0.22530,
20220824,JPY,本行買入,0.21240,0.21970,0.21980,0.21990,0.22000,0.22030,0.22050,0.22070,0.22090,本行賣出,0.22520,0.22370,0.22380,0.22400,0.22430,0.22460,0.22490,0.22530,0.22570,
20220823,JPY,本行買入,0.21080,0.21810,0.21820,0.21830,0.21840,0.21870,0.21890,0.21910,0.21930,本行賣出,0.22360,0.22210,0.22220,0.22240,0.22270,0.22300,0.22330,0.22370,0.22410,
20220822,JPY,本行買入,0.21070,0.21800,0.21810,0.21820,0.21830,0.21860,0.21880,0.21900,0.21920,本行賣出,0.22350,0.22200,0.22210,0.22230,0.22260,0.22290,0.22320,0.22360,0.22400,
20220819,JPY,本行買入,0.21040,0.21770,0.21780,0.21790,0.21800,0.21830,0.21850,0.21870,0.21890,本行賣出,0.22320,0.22170,0.22180,0.22200,0.22230,0.22260,0.22290,0.22330,0.22370,
20220818,JPY,本行買入,0.21250,0.21980,0.21990,0.22000,0.22020,0.22040,0.22060,0.22080,0.22100,本行賣出,0.22530,0.22380,0.22390,0.22420,0.22440,0.22470,0.22510,0.22550,0.22600,
20220817,JPY,本行買入,0.21310,0.22040,0.22050,0.22060,0.22080,0.22100,0.22120,0.22140,0.22160,本行賣出,0.22590,0.22440,0.22450,0.22480,0.22500,0.22530,0.22570,0.22610,0.22660,
20220816,JPY,本行買入,0.21520,0.22250,0.22260,0.22270,0.22290,0.22310,0.22330,0.22350,0.22370,本行賣出,0.22800,0.22650,0.22660,0.22690,0.22710,0.22740,0.22780,0.22820,0.22870,
20220815,JPY,本行買入,0.21570,0.22300,0.22310,0.22320,0.22340,0.22360,0.22380,0.22400,0.22420,本行賣出,0.22850,0.22700,0.22710,0.22740,0.22760,0.22790,0.22830,0.22870,0.22920,
20220812,JPY,本行買入,0.21570,0.22300,0.22310,0.22320,0.22340,0.22360,0.22380,0.22400,0.22420,本行賣出,0.22850,0.22700,0.22710,0.22740,0.22760,0.22790,0.22830,0.22870,0.22920,
20220811,JPY,本行買入,0.21680,0.22410,0.22410,0.22410,0.22440,0.22460,0.22480,0.22510,0.22530,本行賣出,0.22960,0.22810,0.22820,0.22850,0.22870,0.22900,0.22940,0.22980,0.23020,
20220810,JPY,本行買入,0.21310,0.22040,0.22040,0.22040,0.22070,0.22090,0.22110,0.22140,0.22160,本行賣出,0.22590,0.22440,0.22450,0.22480,0.22500,0.22530,0.22570,0.22610,0.22650,
20220809,JPY,本行買入,0.21310,0.22040,0.22040,0.22040,0.22070,0.22090,0.22110,0.22140,0.22160,本行賣出,0.22590,0.22440,0.22450,0.22480,0.22500,0.22530,0.22570,0.22610,0.22650,
20220808,JPY,本行買入,0.21300,0.22030,0.22030,0.22030,0.22060,0.22080,0.22100,0.22130,0.22150,本行賣出,0.22580,0.22430,0.22440,0.22470,0.22490,0.22520,0.22560,0.22600,0.22640,
20220805,JPY,本行買入,0.21550,0.22280,0.22280,0.22280,0.22310,0.22330,0.22350,0.22380,0.22400,本行賣出,0.22830,0.22680,0.22690,0.22720,0.22740,0.22770,0.22810,0.22850,0.22890,
20220804,JPY,本行買入,0.21440,0.22170,0.22180,0.22190,0.22210,0.22230,0.22250,0.22270,0.22290,本行賣出,0.22720,0.22570,0.22580,0.22610,0.22640,0.22660,0.22700,0.22740,0.22770,
20220803,JPY,本行買入,0.21590,0.22320,0.22330,0.22340,0.22360,0.22380,0.22400,0.22420,0.22440,本行賣出,0.22870,0.22720,0.22730,0.22760,0.22790,0.22810,0.22850,0.22890,0.22920,
20220802,JPY,本行買入,0.22010,0.22740,0.22750,0.22760,0.22780,0.22800,0.22820,0.22840,0.22860,本行賣出,0.23290,0.23140,0.23150,0.23180,0.23210,0.23230,0.23270,0.23310,0.23340,
20220801,JPY,本行買入,0.21690,0.22420,0.22430,0.22440,0.22460,0.22480,0.22500,0.22520,0.22540,本行賣出,0.22970,0.22820,0.22830,0.22860,0.22890,0.22910,0.22950,0.22990,0.23020,
20220729,JPY,本行買入,0.21620,0.22350,0.22360,0.22370,0.22390,0.22410,0.22430,0.22450,0.22470,本行賣出,0.22900,0.22750,0.22760,0.22790,0.22820,0.22840,0.22880,0.22920,0.22950,
20220728,JPY,本行買入,0.21150,0.21880,0.21890,0.21900,0.21910,0.21930,0.21950,0.21970,0.21990,本行賣出,0.22430,0.22280,0.22290,0.22310,0.22330,0.22360,0.22390,0.22430,0.22460,
20220727,JPY,本行買入,0.20930,0.21660,0.21670,0.21680,0.21690,0.21710,0.21730,0.21750,0.21770,本行賣出,0.22210,0.22060,0.22070,0.22090,0.22110,0.22140,0.22170,0.22210,0.22240,
20220726,JPY,本行買入,0.20970,0.21700,0.21710,0.21720,0.21730,0.21750,0.21770,0.21790,0.21810,本行賣出,0.22250,0.22100,0.22110,0.22130,0.22150,0.22180,0.22210,0.22250,0.22280,
20220725,JPY,本行買入,0.21010,0.21740,0.21750,0.21760,0.21770,0.21790,0.21810,0.21830,0.21850,本行賣出,0.22290,0.22140,0.22150,0.22170,0.22190,0.22220,0.22250,0.22290,0.22320,
20220722,JPY,本行買入,0.20820,0.21550,0.21560,0.21570,0.21580,0.21600,0.21620,0.21640,0.21660,本行賣出,0.22100,0.21950,0.21960,0.21980,0.22000,0.22030,0.22060,0.22100,0.22130,
20220721,JPY,本行買入,0.20640,0.21370,0.21380,0.21390,0.21400,0.21420,0.21440,0.21460,0.21480,本行賣出,0.21920,0.21770,0.21780,0.21810,0.21830,0.21860,0.21890,0.21920,0.21960,
20220720,JPY,本行買入,0.20720,0.21450,0.21460,0.21470,0.21480,0.21500,0.21520,0.21540,0.21560,本行賣出,0.22000,0.21850,0.21860,0.21890,0.21910,0.21940,0.21970,0.22000,0.22040,
20220719,JPY,本行買入,0.20790,0.21520,0.21530,0.21540,0.21550,0.21570,0.21590,0.21610,0.21630,本行賣出,0.22070,0.21920,0.21930,0.21960,0.21980,0.22010,0.22040,0.22070,0.22110,
20220718,JPY,本行買入,0.20740,0.21470,0.21480,0.21490,0.21500,0.21520,0.21540,0.21560,0.21580,本行賣出,0.22020,0.21870,0.21880,0.21910,0.21930,0.21960,0.21990,0.22020,0.22060,
20220715,JPY,本行買入,0.20640,0.21370,0.21380,0.21390,0.21400,0.21420,0.21440,0.21460,0.21480,本行賣出,0.21920,0.21770,0.21780,0.21810,0.21830,0.21860,0.21890,0.21920,0.21960,
20220714,JPY,本行買入,0.20550,0.21280,0.21280,0.21290,0.21310,0.21320,0.21330,0.21350,0.21360,本行賣出,0.21830,0.21680,0.21690,0.21710,0.21730,0.21750,0.21780,0.21810,0.21830,
20220713,JPY,本行買入,0.20860,0.21590,0.21590,0.21600,0.21620,0.21630,0.21640,0.21660,0.21670,本行賣出,0.22140,0.21990,0.22000,0.22020,0.22040,0.22060,0.22090,0.22120,0.22140,
