資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220812,EUR,本行買入,30.05000,30.67000,30.67400,30.68300,30.69800,30.71000,30.71200,30.71400,30.71500,本行賣出,31.39000,31.07000,31.08600,31.11900,31.14100,31.15800,31.17600,31.19400,31.21100,
20220811,EUR,本行買入,30.11000,30.73000,30.73500,30.74400,30.76000,30.76900,30.76900,30.76800,30.76700,本行賣出,31.45000,31.13000,31.14500,31.17500,31.19800,31.21400,31.23400,31.25400,31.27300,
20220810,EUR,本行買入,29.80000,30.42000,30.42300,30.42900,30.44100,30.45600,30.45300,30.45100,30.44800,本行賣出,31.14000,30.82000,30.83600,30.86900,30.88900,30.91000,30.93100,30.95100,30.97100,
20220809,EUR,本行買入,29.82000,30.44000,30.44500,30.45600,30.46600,30.48300,30.48600,30.48800,30.49000,本行賣出,31.16000,30.84000,30.85600,30.88800,30.91000,30.93300,30.95300,30.97300,30.99200,
20220808,EUR,本行買入,29.81000,30.43000,30.43000,30.42900,30.44500,30.45800,30.46300,30.46700,30.47100,本行賣出,31.15000,30.83000,30.84700,30.88100,30.89800,30.91600,30.93700,30.95800,30.97800,
20220805,EUR,本行買入,29.83000,30.45000,30.45000,30.44900,30.47100,30.48200,30.48600,30.49000,30.49300,本行賣出,31.17000,30.85000,30.86500,30.89500,30.91900,30.93300,30.95300,30.97300,30.99200,
20220804,EUR,本行買入,29.71000,30.33000,30.33300,30.33900,30.36000,30.36600,30.36800,30.37000,30.37100,本行賣出,31.05000,30.73000,30.74400,30.77300,30.79900,30.81000,30.83000,30.84900,30.86700,
20220803,EUR,本行買入,29.74000,30.36000,30.36400,30.37100,30.38500,30.39900,30.40500,30.41000,30.41400,本行賣出,31.08000,30.76000,30.77500,30.80500,30.82300,30.84900,30.86600,30.88200,30.89700,
20220802,EUR,本行買入,29.87000,30.49000,30.49400,30.50100,30.51200,30.52300,30.53100,30.53900,30.54600,本行賣出,31.21000,30.89000,30.90400,30.93300,30.95100,30.97500,30.99400,31.01300,31.03200,
20220801,EUR,本行買入,29.86000,30.48000,30.48500,30.49600,30.51100,30.52400,30.52800,30.53200,30.53600,本行賣出,31.20000,30.88000,30.89800,30.93400,30.95200,30.97000,30.99200,31.01400,31.03500,
20220729,EUR,本行買入,29.83000,30.45000,30.45600,30.46900,30.48500,30.49800,30.50000,30.50100,30.50300,本行賣出,31.17000,30.85000,30.86800,30.90400,30.92700,30.94300,30.96000,30.97600,30.99200,
20220728,EUR,本行買入,29.74000,30.36000,30.36200,30.36700,30.38100,30.38800,30.39200,30.39500,30.39800,本行賣出,31.08000,30.76000,30.77600,30.80900,30.83800,30.84700,30.86500,30.88300,30.90100,
20220727,EUR,本行買入,29.54000,30.16000,30.16500,30.17600,30.19100,30.20400,30.20900,30.21300,30.21700,本行賣出,30.88000,30.56000,30.57700,30.61100,30.63100,30.64800,30.66700,30.68600,30.70500,
20220726,EUR,本行買入,29.76000,30.38000,30.38500,30.39600,30.41000,30.42300,30.42600,30.42900,30.43100,本行賣出,31.10000,30.78000,30.79600,30.82900,30.85000,30.86700,30.88400,30.90200,30.91900,
20220725,EUR,本行買入,29.64000,30.26000,30.26500,30.27600,30.28800,30.29800,30.29700,30.29400,30.29200,本行賣出,30.98000,30.66000,30.67700,30.71200,30.72800,30.74800,30.75700,30.76500,30.77300,
20220722,EUR,本行買入,29.52000,30.14000,30.14500,30.15600,30.17200,30.18300,30.17800,30.17300,30.16800,本行賣出,30.86000,30.54000,30.55700,30.59100,30.61300,30.62900,30.63600,30.64200,30.64800,
20220721,EUR,本行買入,29.66000,30.28000,30.28700,30.30000,30.32200,30.33700,30.33100,30.32500,30.31800,本行賣出,31.00000,30.68000,30.69900,30.73600,30.76500,30.78500,30.79300,30.80100,30.80800,
20220720,EUR,本行買入,29.77000,30.39000,30.39600,30.40900,30.42900,30.44500,30.43600,30.42700,30.41700,本行賣出,31.11000,30.79000,30.81100,30.85300,30.88100,30.90100,30.90600,30.91000,30.91400,
20220719,EUR,本行買入,29.81000,30.43000,30.44000,30.45900,30.48200,30.49500,30.49300,30.49100,30.48800,本行賣出,31.15000,30.83000,30.85200,30.89600,30.92400,30.95100,30.95800,30.96500,30.97100,
20220718,EUR,本行買入,29.54000,30.16000,30.16900,30.18700,30.20400,30.22000,30.21300,30.20500,30.19700,本行賣出,30.88000,30.56000,30.58300,30.62800,30.65400,30.67300,30.68200,30.69100,30.69900,
20220715,EUR,本行買入,29.22000,29.84000,29.84700,29.86000,29.87900,29.89400,29.89500,29.89500,29.89500,本行賣出,30.56000,30.24000,30.25900,30.29700,30.32400,30.35000,30.36300,30.37600,30.38900,
20220714,EUR,本行買入,29.17000,29.79000,29.79500,29.80500,29.82600,29.84100,29.84200,29.84200,29.84300,本行賣出,30.51000,30.19000,30.21000,30.25100,30.28400,30.29700,30.31300,30.33000,30.34600,
20220713,EUR,本行買入,29.14000,29.76000,29.76700,29.78000,29.80300,29.81800,29.81900,29.82000,29.82100,本行賣出,30.48000,30.16000,30.18000,30.21900,30.24900,30.27000,30.28300,30.29600,30.30900,
20220712,EUR,本行買入,29.10000,29.72000,29.72700,29.74000,29.76000,29.76800,29.77100,29.77300,29.77500,本行賣出,30.44000,30.12000,30.13800,30.17400,30.20300,30.21800,30.23400,30.24900,30.26400,
20220711,EUR,本行買入,29.34000,29.96000,29.96700,29.98000,29.99900,30.00900,30.00700,30.00400,30.00100,本行賣出,30.68000,30.36000,30.38000,30.42000,30.44400,30.45700,30.46800,30.47900,30.48800,
