資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,THB,本行買入,0.72000,0.83240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91000,0.87240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220913,THB,本行買入,0.72420,0.83660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91420,0.87660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220912,THB,本行買入,0.72150,0.83390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91150,0.87390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220908,THB,本行買入,0.72060,0.83300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91060,0.87300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220907,THB,本行買入,0.71590,0.82830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90590,0.86830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220906,THB,本行買入,0.71620,0.82860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90620,0.86860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220905,THB,本行買入,0.71030,0.82270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90030,0.86270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220902,THB,本行買入,0.70470,0.81710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89470,0.85710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220901,THB,本行買入,0.70510,0.81750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89510,0.85750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220831,THB,本行買入,0.70740,0.81980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89740,0.85980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220830,THB,本行買入,0.70930,0.82170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89930,0.86170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220829,THB,本行買入,0.70690,0.81930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89690,0.85930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220826,THB,本行買入,0.71180,0.82420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90180,0.86420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220825,THB,本行買入,0.71460,0.82700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90460,0.86700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220824,THB,本行買入,0.71050,0.82290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90050,0.86290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220823,THB,本行買入,0.70760,0.82000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89760,0.86000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220822,THB,本行買入,0.70670,0.81910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89670,0.85910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220819,THB,本行買入,0.71370,0.82610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90370,0.86610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220818,THB,本行買入,0.71310,0.82550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90310,0.86550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220817,THB,本行買入,0.71850,0.83090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90850,0.87090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220816,THB,本行買入,0.71980,0.83220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90980,0.87220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220815,THB,本行買入,0.71870,0.83110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90870,0.87110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220812,THB,本行買入,0.72110,0.83350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91110,0.87350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220811,THB,本行買入,0.72380,0.83620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.91380,0.87620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220810,THB,本行買入,0.71690,0.82930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90690,0.86930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220809,THB,本行買入,0.71880,0.83120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90880,0.87120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220808,THB,本行買入,0.71110,0.82350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90110,0.86350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220805,THB,本行買入,0.71470,0.82710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90470,0.86710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220804,THB,本行買入,0.70540,0.81780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89540,0.85780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220803,THB,本行買入,0.70030,0.81270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89030,0.85270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220802,THB,本行買入,0.70330,0.81570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89330,0.85570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220801,THB,本行買入,0.70280,0.81520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89280,0.85520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220729,THB,本行買入,0.70170,0.81410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89170,0.85410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220728,THB,本行買入,0.69110,0.80350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.88110,0.84350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220727,THB,本行買入,0.68560,0.79800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.87560,0.83800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
