資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,HKD,本行買入,3.71700,3.84300,3.84300,3.84200,3.83800,3.83400,3.82500,3.81600,3.80700,本行賣出,3.92100,3.90300,3.90300,3.90400,3.90100,3.89600,3.88900,3.88200,3.87500,
20220826,HKD,本行買入,3.69500,3.82100,3.82100,3.82000,3.81600,3.81200,3.80300,3.79400,3.78500,本行賣出,3.89900,3.88100,3.88100,3.88200,3.87900,3.87400,3.86700,3.86000,3.85300,
20220825,HKD,本行買入,3.69300,3.81900,3.81900,3.81800,3.81400,3.81000,3.80100,3.79200,3.78300,本行賣出,3.89700,3.87900,3.87900,3.88000,3.87700,3.87200,3.86500,3.85800,3.85100,
20220824,HKD,本行買入,3.70200,3.82800,3.82800,3.82700,3.82300,3.81900,3.81000,3.80100,3.79200,本行賣出,3.90600,3.88800,3.88800,3.88900,3.88600,3.88100,3.87400,3.86700,3.86000,
20220823,HKD,本行買入,3.69300,3.81900,3.81900,3.81800,3.81400,3.81000,3.80100,3.79200,3.78300,本行賣出,3.89700,3.87900,3.87900,3.88000,3.87700,3.87200,3.86500,3.85800,3.85100,
20220822,HKD,本行買入,3.67900,3.80500,3.80500,3.80400,3.80000,3.79600,3.78700,3.77800,3.76900,本行賣出,3.88300,3.86500,3.86500,3.86600,3.86300,3.85800,3.85100,3.84400,3.83700,
20220819,HKD,本行買入,3.67000,3.79600,3.79600,3.79500,3.79100,3.78700,3.77800,3.76900,3.76000,本行賣出,3.87400,3.85600,3.85600,3.85700,3.85400,3.84900,3.84200,3.83500,3.82800,
20220818,HKD,本行買入,3.66800,3.79400,3.79400,3.79300,3.78900,3.78500,3.77600,3.76700,3.75800,本行賣出,3.87200,3.85400,3.85400,3.85500,3.85200,3.84700,3.84000,3.83300,3.82600,
20220817,HKD,本行買入,3.66700,3.79300,3.79300,3.79200,3.78800,3.78400,3.77500,3.76600,3.75700,本行賣出,3.87100,3.85300,3.85300,3.85400,3.85100,3.84600,3.83900,3.83200,3.82500,
20220816,HKD,本行買入,3.66900,3.79500,3.79500,3.79400,3.79000,3.78600,3.77700,3.76800,3.75900,本行賣出,3.87300,3.85500,3.85500,3.85600,3.85300,3.84800,3.84100,3.83400,3.82700,
20220815,HKD,本行買入,3.67000,3.79600,3.79600,3.79500,3.79100,3.78700,3.77800,3.76900,3.76000,本行賣出,3.87400,3.85600,3.85600,3.85700,3.85400,3.84900,3.84200,3.83500,3.82800,
20220812,HKD,本行買入,3.66900,3.79500,3.79500,3.79400,3.79000,3.78600,3.77700,3.76800,3.75900,本行賣出,3.87300,3.85500,3.85500,3.85600,3.85300,3.84800,3.84100,3.83400,3.82700,
20220811,HKD,本行買入,3.66100,3.78700,3.78700,3.78600,3.78200,3.77800,3.76900,3.76000,3.75100,本行賣出,3.86500,3.84700,3.84700,3.84800,3.84500,3.84000,3.83300,3.82600,3.81900,
20220810,HKD,本行買入,3.66700,3.79300,3.79300,3.79200,3.78800,3.78400,3.77500,3.76600,3.75700,本行賣出,3.87100,3.85300,3.85300,3.85400,3.85100,3.84600,3.83900,3.83200,3.82500,
20220809,HKD,本行買入,3.66500,3.79100,3.79100,3.79000,3.78600,3.78200,3.77300,3.76400,3.75500,本行賣出,3.86900,3.85100,3.85100,3.85200,3.84900,3.84400,3.83700,3.83000,3.82300,
20220808,HKD,本行買入,3.66500,3.79100,3.79100,3.79000,3.78600,3.78200,3.77300,3.76400,3.75500,本行賣出,3.86900,3.85100,3.85100,3.85200,3.84900,3.84400,3.83700,3.83000,3.82300,
20220805,HKD,本行買入,3.65900,3.78500,3.78500,3.78400,3.78000,3.77600,3.76700,3.75800,3.74900,本行賣出,3.86300,3.84500,3.84500,3.84600,3.84300,3.83800,3.83100,3.82400,3.81700,
