資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,AUD,本行買入,20.51000,20.80000,20.79100,20.77400,20.74400,20.71100,20.66300,20.61000,20.55500,本行賣出,21.29000,21.00000,20.99700,20.99000,20.96200,20.92900,20.89100,20.84900,20.80500,
20220913,AUD,本行買入,20.89000,21.18000,21.17100,21.15400,21.12400,21.09100,21.04300,20.99000,20.93500,本行賣出,21.67000,21.38000,21.37700,21.37000,21.34200,21.30900,21.27100,21.22900,21.18500,
20220912,AUD,本行買入,20.84000,21.13000,21.12100,21.10400,21.07400,21.04100,20.99300,20.94000,20.88500,本行賣出,21.62000,21.33000,21.32700,21.32000,21.29200,21.25900,21.22100,21.17900,21.13500,
20220908,AUD,本行買入,20.41000,20.70000,20.69100,20.67400,20.64400,20.61100,20.56300,20.51000,20.45500,本行賣出,21.19000,20.90000,20.89700,20.89000,20.86200,20.82900,20.79100,20.74900,20.70500,
20220907,AUD,本行買入,20.42000,20.71000,20.70100,20.68400,20.65400,20.62100,20.57300,20.52000,20.46500,本行賣出,21.20000,20.91000,20.90700,20.90000,20.87200,20.83900,20.80100,20.75900,20.71500,
20220906,AUD,本行買入,20.49000,20.78000,20.77100,20.75400,20.72400,20.69100,20.64300,20.59000,20.53500,本行賣出,21.27000,20.98000,20.97700,20.97000,20.94200,20.90900,20.87100,20.82900,20.78500,
20220905,AUD,本行買入,20.42000,20.71000,20.70100,20.68400,20.65400,20.62100,20.57300,20.52000,20.46500,本行賣出,21.20000,20.91000,20.90700,20.90000,20.87200,20.83900,20.80100,20.75900,20.71500,
20220902,AUD,本行買入,20.39000,20.68000,20.67100,20.65400,20.62400,20.59100,20.54300,20.49000,20.43500,本行賣出,21.17000,20.88000,20.87700,20.87000,20.84200,20.80900,20.77100,20.72900,20.68500,
20220901,AUD,本行買入,20.47000,20.76000,20.75100,20.73400,20.70400,20.67100,20.62300,20.57000,20.51500,本行賣出,21.25000,20.96000,20.95700,20.95000,20.92200,20.88900,20.85100,20.80900,20.76500,
20220831,AUD,本行買入,20.54000,20.83000,20.82100,20.80400,20.77400,20.74100,20.69300,20.64000,20.58500,本行賣出,21.32000,21.03000,21.02700,21.02000,20.99200,20.95900,20.92100,20.87900,20.83500,
20220830,AUD,本行買入,20.71000,21.00000,20.99500,20.98400,20.95700,20.92800,20.88100,20.83600,20.78600,本行賣出,21.49000,21.20000,21.19900,21.19800,21.17400,21.14300,21.10500,21.07000,21.02900,
20220829,AUD,本行買入,20.45000,20.74000,20.73500,20.72400,20.69700,20.66800,20.62100,20.57600,20.52600,本行賣出,21.23000,20.94000,20.93900,20.93800,20.91400,20.88300,20.84500,20.81000,20.76900,
20220826,AUD,本行買入,20.63000,20.92000,20.91500,20.90400,20.87700,20.84800,20.80100,20.75600,20.70600,本行賣出,21.41000,21.12000,21.11900,21.11800,21.09400,21.06300,21.02500,20.99000,20.94900,
20220825,AUD,本行買入,20.69000,20.98000,20.97500,20.96400,20.93700,20.90800,20.86100,20.81600,20.76600,本行賣出,21.47000,21.18000,21.17900,21.17800,21.15400,21.12300,21.08500,21.05000,21.00900,
20220824,AUD,本行買入,20.55000,20.84000,20.83500,20.82400,20.79700,20.76800,20.72100,20.67600,20.62600,本行賣出,21.33000,21.04000,21.03900,21.03800,21.01400,20.98300,20.94500,20.91000,20.86900,
20220823,AUD,本行買入,20.40000,20.69000,20.68500,20.67400,20.64700,20.61800,20.57100,20.52600,20.47600,本行賣出,21.18000,20.89000,20.88900,20.88800,20.86400,20.83300,20.79500,20.76000,20.71900,
20220822,AUD,本行買入,20.34000,20.63000,20.62500,20.61400,20.58700,20.55800,20.51100,20.46600,20.41600,本行賣出,21.12000,20.83000,20.82900,20.82800,20.80400,20.77300,20.73500,20.70000,20.65900,
20220819,AUD,本行買入,20.36000,20.65000,20.64500,20.63400,20.60700,20.57800,20.53100,20.48600,20.43600,本行賣出,21.14000,20.85000,20.84900,20.84800,20.82400,20.79300,20.75500,20.72000,20.67900,
20220818,AUD,本行買入,20.37000,20.66000,20.65500,20.64400,20.61700,20.58800,20.54100,20.49600,20.44600,本行賣出,21.15000,20.86000,20.85900,20.85800,20.83400,20.80300,20.76500,20.73000,20.68900,
20220817,AUD,本行買入,20.52000,20.81000,20.80500,20.79400,20.76700,20.73800,20.69100,20.64600,20.59600,本行賣出,21.30000,21.01000,21.00900,21.00800,20.98400,20.95300,20.91500,20.88000,20.83900,
20220816,AUD,本行買入,20.65000,20.94000,20.93500,20.92400,20.89700,20.86800,20.82100,20.77600,20.72600,本行賣出,21.43000,21.14000,21.13900,21.13800,21.11400,21.08300,21.04500,21.01000,20.96900,
20220815,AUD,本行買入,20.90000,21.19000,21.18500,21.17400,21.14700,21.11800,21.07100,21.02600,20.97600,本行賣出,21.68000,21.39000,21.38900,21.38800,21.36400,21.33300,21.29500,21.26000,21.21900,
20220812,AUD,本行買入,20.97000,21.26000,21.25500,21.24400,21.21700,21.18800,21.14100,21.09600,21.04600,本行賣出,21.75000,21.46000,21.45900,21.45800,21.43400,21.40300,21.36500,21.33000,21.28900,
20220811,AUD,本行買入,20.87000,21.16000,21.15500,21.14400,21.11700,21.08800,21.04100,20.99600,20.94600,本行賣出,21.65000,21.36000,21.35900,21.35800,21.33400,21.30300,21.26500,21.23000,21.18900,
20220810,AUD,本行買入,20.50000,20.79000,20.78500,20.77400,20.74700,20.71800,20.67100,20.62600,20.57600,本行賣出,21.28000,20.99000,20.98900,20.98800,20.96400,20.93300,20.89500,20.86000,20.81900,
20220809,AUD,本行買入,20.53000,20.82000,20.81500,20.80400,20.77700,20.74800,20.70100,20.65600,20.60600,本行賣出,21.31000,21.02000,21.01900,21.01800,20.99400,20.96300,20.92500,20.89000,20.84900,
20220808,AUD,本行買入,20.51000,20.80000,20.79500,20.78400,20.75700,20.72800,20.68100,20.63600,20.58600,本行賣出,21.29000,21.00000,20.99900,20.99800,20.97400,20.94300,20.90500,20.87000,20.82900,
20220805,AUD,本行買入,20.46000,20.75000,20.74500,20.73400,20.70700,20.67800,20.63100,20.58600,20.53600,本行賣出,21.24000,20.95000,20.94900,20.94800,20.92400,20.89300,20.85500,20.82000,20.77900,
