資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220829,SEK,本行買入,2.46000,2.80000,2.80000,2.79900,2.79800,2.79600,2.79300,2.79000,2.78600,本行賣出,2.98000,2.90000,2.90100,2.90300,2.90300,2.90100,2.89900,2.89800,2.89600,
20220826,SEK,本行買入,2.46000,2.80000,2.80000,2.79900,2.79800,2.79600,2.79300,2.79000,2.78600,本行賣出,2.98000,2.90000,2.90100,2.90300,2.90300,2.90100,2.89900,2.89800,2.89600,
20220825,SEK,本行買入,2.47000,2.81000,2.81000,2.80900,2.80800,2.80600,2.80300,2.80000,2.79600,本行賣出,2.99000,2.91000,2.91100,2.91300,2.91300,2.91100,2.90900,2.90800,2.90600,
20220824,SEK,本行買入,2.46000,2.80000,2.80000,2.79900,2.79800,2.79600,2.79300,2.79000,2.78600,本行賣出,2.98000,2.90000,2.90100,2.90300,2.90300,2.90100,2.89900,2.89800,2.89600,
20220823,SEK,本行買入,2.44000,2.78000,2.78000,2.77900,2.77800,2.77600,2.77300,2.77000,2.76600,本行賣出,2.96000,2.88000,2.88100,2.88300,2.88300,2.88100,2.87900,2.87800,2.87600,
20220822,SEK,本行買入,2.44000,2.78000,2.78000,2.77900,2.77800,2.77600,2.77300,2.77000,2.76600,本行賣出,2.96000,2.88000,2.88100,2.88300,2.88300,2.88100,2.87900,2.87800,2.87600,
20220819,SEK,本行買入,2.47000,2.81000,2.81000,2.80900,2.80800,2.80600,2.80300,2.80000,2.79600,本行賣出,2.99000,2.91000,2.91100,2.91300,2.91300,2.91100,2.90900,2.90800,2.90600,
20220818,SEK,本行買入,2.49000,2.83000,2.83000,2.82900,2.82800,2.82600,2.82300,2.82000,2.81600,本行賣出,3.01000,2.93000,2.93100,2.93300,2.93300,2.93100,2.92900,2.92800,2.92600,
20220817,SEK,本行買入,2.51000,2.85000,2.85000,2.84900,2.84800,2.84600,2.84300,2.84000,2.83600,本行賣出,3.03000,2.95000,2.95100,2.95300,2.95300,2.95100,2.94900,2.94800,2.94600,
20220816,SEK,本行買入,2.51000,2.85000,2.85000,2.84900,2.84800,2.84600,2.84300,2.84000,2.83600,本行賣出,3.03000,2.95000,2.95100,2.95300,2.95300,2.95100,2.94900,2.94800,2.94600,
20220815,SEK,本行買入,2.55000,2.89000,2.89000,2.88900,2.88800,2.88600,2.88300,2.88000,2.87600,本行賣出,3.07000,2.99000,2.99100,2.99300,2.99300,2.99100,2.98900,2.98800,2.98600,
20220812,SEK,本行買入,2.58000,2.92000,2.92000,2.91900,2.91800,2.91600,2.91300,2.91000,2.90600,本行賣出,3.10000,3.02000,3.02100,3.02300,3.02300,3.02100,3.01900,3.01800,3.01600,
20220811,SEK,本行買入,2.60000,2.94000,2.94000,2.93900,2.93800,2.93600,2.93300,2.93000,2.92600,本行賣出,3.12000,3.04000,3.04100,3.04300,3.04300,3.04100,3.03900,3.03800,3.03600,
20220810,SEK,本行買入,2.56000,2.90000,2.90000,2.89900,2.89800,2.89600,2.89300,2.89000,2.88600,本行賣出,3.08000,3.00000,3.00100,3.00300,3.00300,3.00100,2.99900,2.99800,2.99600,
20220809,SEK,本行買入,2.57000,2.91000,2.91000,2.90900,2.90800,2.90600,2.90300,2.90000,2.89600,本行賣出,3.09000,3.01000,3.01100,3.01300,3.01300,3.01100,3.00900,3.00800,3.00600,
20220808,SEK,本行買入,2.57000,2.91000,2.91000,2.90900,2.90800,2.90600,2.90300,2.90000,2.89600,本行賣出,3.09000,3.01000,3.01100,3.01300,3.01300,3.01100,3.00900,3.00800,3.00600,
20220805,SEK,本行買入,2.57000,2.91000,2.91000,2.90900,2.90800,2.90600,2.90300,2.90000,2.89600,本行賣出,3.09000,3.01000,3.01100,3.01300,3.01300,3.01100,3.00900,3.00800,3.00600,
20220804,SEK,本行買入,2.55000,2.89000,2.89000,2.88900,2.88800,2.88600,2.88300,2.88000,2.87600,本行賣出,3.07000,2.99000,2.99100,2.99300,2.99300,2.99100,2.98900,2.98800,2.98600,
20220803,SEK,本行買入,2.55000,2.89000,2.89000,2.88900,2.88800,2.88600,2.88300,2.88000,2.87600,本行賣出,3.07000,2.99000,2.99100,2.99300,2.99300,2.99100,2.98900,2.98800,2.98600,
20220802,SEK,本行買入,2.56000,2.90000,2.90000,2.89900,2.89800,2.89600,2.89300,2.89000,2.88600,本行賣出,3.08000,3.00000,3.00100,3.00300,3.00300,3.00100,2.99900,2.99800,2.99600,
20220801,SEK,本行買入,2.56000,2.90000,2.90000,2.89900,2.89800,2.89600,2.89300,2.89000,2.88600,本行賣出,3.08000,3.00000,3.00100,3.00300,3.00300,3.00100,2.99900,2.99800,2.99600,
20220729,SEK,本行買入,2.56000,2.90000,2.90000,2.89900,2.89800,2.89600,2.89300,2.89000,2.88600,本行賣出,3.08000,3.00000,3.00100,3.00300,3.00300,3.00100,2.99900,2.99800,2.99600,
