資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220812,CHF,本行買入,31.00000,31.68000,31.69100,31.71300,31.72900,31.75100,31.76300,31.77500,31.78700,本行賣出,32.20000,31.93000,31.95100,31.99200,32.01200,32.03300,32.05900,32.08500,32.11100,
20220811,CHF,本行買入,31.03000,31.71000,31.72100,31.74300,31.75900,31.78100,31.79300,31.80500,31.81700,本行賣出,32.23000,31.96000,31.98100,32.02200,32.04200,32.06300,32.08900,32.11500,32.14100,
20220810,CHF,本行買入,30.71000,31.39000,31.40100,31.42300,31.43900,31.46100,31.47300,31.48500,31.49700,本行賣出,31.91000,31.64000,31.66100,31.70200,31.72200,31.74300,31.76900,31.79500,31.82100,
20220809,CHF,本行買入,30.64000,31.32000,31.33100,31.35300,31.36900,31.39100,31.40300,31.41500,31.42700,本行賣出,31.84000,31.57000,31.59100,31.63200,31.65200,31.67300,31.69900,31.72500,31.75100,
20220808,CHF,本行買入,30.53000,31.21000,31.22100,31.24300,31.25900,31.28100,31.29300,31.30500,31.31700,本行賣出,31.73000,31.46000,31.48100,31.52200,31.54200,31.56300,31.58900,31.61500,31.64100,
20220805,CHF,本行買入,30.51000,31.19000,31.20100,31.22300,31.23900,31.26100,31.27300,31.28500,31.29700,本行賣出,31.71000,31.44000,31.46100,31.50200,31.52200,31.54300,31.56900,31.59500,31.62100,
20220804,CHF,本行買入,30.39000,31.07000,31.08100,31.10300,31.11900,31.14100,31.15300,31.16500,31.17700,本行賣出,31.59000,31.32000,31.34100,31.38200,31.40200,31.42300,31.44900,31.47500,31.50100,
20220803,CHF,本行買入,30.50000,31.18000,31.19100,31.21300,31.22900,31.25100,31.26300,31.27500,31.28700,本行賣出,31.70000,31.43000,31.45100,31.49200,31.51200,31.53300,31.55900,31.58500,31.61100,
20220802,CHF,本行買入,30.68000,31.36000,31.37100,31.39300,31.40900,31.43100,31.44300,31.45500,31.46700,本行賣出,31.88000,31.61000,31.63100,31.67200,31.69200,31.71300,31.73900,31.76500,31.79100,
20220801,CHF,本行買入,30.71000,31.39000,31.40100,31.42300,31.43900,31.46100,31.47300,31.48500,31.49700,本行賣出,31.91000,31.64000,31.66100,31.70200,31.72200,31.74300,31.76900,31.79500,31.82100,
20220729,CHF,本行買入,30.64000,31.32000,31.33100,31.35300,31.36900,31.39100,31.40300,31.41500,31.42700,本行賣出,31.84000,31.57000,31.59100,31.63200,31.65200,31.67300,31.69900,31.72500,31.75100,
20220728,CHF,本行買入,30.39000,31.07000,31.07400,31.08200,31.10700,31.11800,31.12700,31.13500,31.14400,本行賣出,31.59000,31.32000,31.33800,31.37300,31.40700,31.42500,31.44900,31.47400,31.49800,
20220727,CHF,本行買入,30.30000,30.98000,30.98400,30.99200,31.01700,31.02800,31.03700,31.04500,31.05400,本行賣出,31.50000,31.23000,31.24800,31.28300,31.31700,31.33500,31.35900,31.38400,31.40800,
20220726,CHF,本行買入,30.20000,30.88000,30.88400,30.89200,30.91700,30.92800,30.93700,30.94500,30.95400,本行賣出,31.40000,31.13000,31.14800,31.18300,31.21700,31.23500,31.25900,31.28400,31.30800,
20220725,CHF,本行買入,30.15000,30.83000,30.83400,30.84200,30.86700,30.87800,30.88700,30.89500,30.90400,本行賣出,31.35000,31.08000,31.09800,31.13300,31.16700,31.18500,31.20900,31.23400,31.25800,
20220722,CHF,本行買入,30.07000,30.75000,30.75400,30.76200,30.78700,30.79800,30.80700,30.81500,30.82400,本行賣出,31.27000,31.00000,31.01800,31.05300,31.08700,31.10500,31.12900,31.15400,31.17800,
20220721,CHF,本行買入,29.89000,30.57000,30.57400,30.58200,30.60700,30.61800,30.62700,30.63500,30.64400,本行賣出,31.09000,30.82000,30.83800,30.87300,30.90700,30.92500,30.94900,30.97400,30.99800,
