資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,NZD,本行買入,18.17000,18.55000,18.53800,18.51400,18.48000,18.44400,18.39000,18.33600,18.28300,本行賣出,19.02000,18.75000,18.74400,18.73100,18.69800,18.66000,18.61700,18.57300,18.52900,
20220913,NZD,本行買入,18.49000,18.87000,18.85800,18.83400,18.80000,18.76400,18.71000,18.65600,18.60300,本行賣出,19.34000,19.07000,19.06400,19.05100,19.01800,18.98000,18.93700,18.89300,18.84900,
20220912,NZD,本行買入,18.50000,18.88000,18.86800,18.84400,18.81000,18.77400,18.72000,18.66600,18.61300,本行賣出,19.35000,19.08000,19.07400,19.06100,19.02800,18.99000,18.94700,18.90300,18.85900,
20220908,NZD,本行買入,18.20000,18.58000,18.56800,18.54400,18.51000,18.47400,18.42000,18.36600,18.31300,本行賣出,19.05000,18.78000,18.77400,18.76100,18.72800,18.69000,18.64700,18.60300,18.55900,
20220907,NZD,本行買入,18.17000,18.55000,18.53800,18.51400,18.48000,18.44400,18.39000,18.33600,18.28300,本行賣出,19.02000,18.75000,18.74400,18.73100,18.69800,18.66000,18.61700,18.57300,18.52900,
20220906,NZD,本行買入,18.26000,18.64000,18.62800,18.60400,18.57000,18.53400,18.48000,18.42600,18.37300,本行賣出,19.11000,18.84000,18.83400,18.82100,18.78800,18.75000,18.70700,18.66300,18.61900,
20220905,NZD,本行買入,18.21000,18.59000,18.57800,18.55400,18.52000,18.48400,18.43000,18.37600,18.32300,本行賣出,19.06000,18.79000,18.78400,18.77100,18.73800,18.70000,18.65700,18.61300,18.56900,
20220902,NZD,本行買入,18.11000,18.49000,18.47800,18.45400,18.42000,18.38400,18.33000,18.27600,18.22300,本行賣出,18.96000,18.69000,18.68400,18.67100,18.63800,18.60000,18.55700,18.51300,18.46900,
20220901,NZD,本行買入,18.17000,18.55000,18.53800,18.51400,18.48000,18.44400,18.39000,18.33600,18.28300,本行賣出,19.02000,18.75000,18.74400,18.73100,18.69800,18.66000,18.61700,18.57300,18.52900,
20220831,NZD,本行買入,18.21000,18.59000,18.57800,18.55400,18.52000,18.48400,18.43000,18.37600,18.32300,本行賣出,19.06000,18.79000,18.78400,18.77100,18.73800,18.70000,18.65700,18.61300,18.56900,
20220830,NZD,本行買入,18.31000,18.69000,18.67900,18.65700,18.62200,18.58400,18.53100,18.47900,18.42600,本行賣出,19.16000,18.89000,18.88700,18.88100,18.84700,18.80700,18.76300,18.72000,18.67600,
20220829,NZD,本行買入,18.10000,18.48000,18.46900,18.44700,18.41200,18.37400,18.32100,18.26900,18.21600,本行賣出,18.95000,18.68000,18.67700,18.67100,18.63700,18.59700,18.55300,18.51000,18.46600,
20220826,NZD,本行買入,18.24000,18.62000,18.60900,18.58700,18.55200,18.51400,18.46100,18.40900,18.35600,本行賣出,19.09000,18.82000,18.81700,18.81100,18.77700,18.73700,18.69300,18.65000,18.60600,
20220825,NZD,本行買入,18.36000,18.74000,18.72900,18.70700,18.67200,18.63400,18.58100,18.52900,18.47600,本行賣出,19.21000,18.94000,18.93700,18.93100,18.89700,18.85700,18.81300,18.77000,18.72600,
20220824,NZD,本行買入,18.29000,18.67000,18.65900,18.63700,18.60200,18.56400,18.51100,18.45900,18.40600,本行賣出,19.14000,18.87000,18.86700,18.86100,18.82700,18.78700,18.74300,18.70000,18.65600,
20220823,NZD,本行買入,18.20000,18.58000,18.56900,18.54700,18.51200,18.47400,18.42100,18.36900,18.31600,本行賣出,19.05000,18.78000,18.77700,18.77100,18.73700,18.69700,18.65300,18.61000,18.56600,
20220822,NZD,本行買入,18.16000,18.54000,18.52900,18.50700,18.47200,18.43400,18.38100,18.32900,18.27600,本行賣出,19.01000,18.74000,18.73700,18.73100,18.69700,18.65700,18.61300,18.57000,18.52600,
20220819,NZD,本行買入,18.23000,18.61000,18.59900,18.57700,18.54200,18.50400,18.45100,18.39900,18.34600,本行賣出,19.08000,18.81000,18.80700,18.80100,18.76700,18.72700,18.68300,18.64000,18.59600,
20220818,NZD,本行買入,18.30000,18.68000,18.66900,18.64700,18.61200,18.57400,18.52100,18.46900,18.41600,本行賣出,19.15000,18.88000,18.87700,18.87100,18.83700,18.79700,18.75300,18.71000,18.66600,
20220817,NZD,本行買入,18.46000,18.84000,18.82900,18.80700,18.77200,18.73400,18.68100,18.62900,18.57600,本行賣出,19.31000,19.04000,19.03700,19.03100,18.99700,18.95700,18.91300,18.87000,18.82600,
20220816,NZD,本行買入,18.55000,18.93000,18.91900,18.89700,18.86200,18.82400,18.77100,18.71900,18.66600,本行賣出,19.40000,19.13000,19.12700,19.12100,19.08700,19.04700,19.00300,18.96000,18.91600,
20220815,NZD,本行買入,18.82000,19.20000,19.18900,19.16700,19.13200,19.09400,19.04100,18.98900,18.93600,本行賣出,19.67000,19.40000,19.39700,19.39100,19.35700,19.31700,19.27300,19.23000,19.18600,
