資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220812,USD,本行買入,29.57500,29.92500,29.91400,29.88600,29.83000,29.77500,29.71000,29.62000,29.55000,本行賣出,30.24500,30.02500,30.02200,29.99600,29.94900,29.90000,29.84200,29.76200,29.72000,
20220811,USD,本行買入,29.55000,29.90000,29.88900,29.85500,29.80400,29.74500,29.67000,29.57500,29.51000,本行賣出,30.22000,30.00000,29.99700,29.97000,29.92400,29.87500,29.81700,29.73700,29.69000,
20220810,USD,本行買入,29.60500,29.95500,29.94400,29.90900,29.85900,29.79900,29.73000,29.64000,29.56500,本行賣出,30.27500,30.05500,30.05300,30.02500,29.97900,29.93000,29.87500,29.79500,29.73000,
20220809,USD,本行買入,29.59500,29.94500,29.93400,29.89500,29.84700,29.78700,29.72000,29.63500,29.55500,本行賣出,30.26500,30.04500,30.04300,30.01300,29.96900,29.92000,29.86500,29.79000,29.72700,
20220808,USD,本行買入,29.60000,29.95000,29.93900,29.89700,29.85000,29.79500,29.73000,29.64500,29.57500,本行賣出,30.27000,30.05000,30.04800,30.01900,29.97300,29.92400,29.87000,29.79500,29.73500,
20220805,USD,本行買入,29.55500,29.90500,29.89400,29.85900,29.80800,29.75200,29.69100,29.60700,29.53300,本行賣出,30.22500,30.00500,30.00300,29.97000,29.92500,29.87500,29.83000,29.75000,29.69500,
20220804,USD,本行買入,29.60000,29.95000,29.93800,29.90200,29.84500,29.79500,29.73500,29.65000,29.58000,本行賣出,30.27000,30.05000,30.04600,30.01600,29.97000,29.92000,29.87500,29.79500,29.74000,
20220803,USD,本行買入,29.60000,29.95000,29.93700,29.90200,29.85300,29.79400,29.74000,29.66000,29.58500,本行賣出,30.27000,30.05000,30.04600,30.01800,29.97300,29.92200,29.87700,29.80000,29.74500,
20220802,USD,本行買入,29.60000,29.95000,29.93800,29.90000,29.85000,29.79500,29.74000,29.66000,29.59000,本行賣出,30.27000,30.05000,30.04600,30.02000,29.97800,29.93000,29.88500,29.80000,29.74500,
20220801,USD,本行買入,29.58000,29.93000,29.91900,29.88500,29.83500,29.78000,29.73000,29.65000,29.58000,本行賣出,30.25000,30.03000,30.02700,30.00500,29.96300,29.91700,29.87000,29.79000,29.73000,
20220729,USD,本行買入,29.54000,29.89000,29.87800,29.84300,29.79600,29.74000,29.68000,29.60000,29.51500,本行賣出,30.21000,29.99000,29.98700,29.96200,29.91600,29.87000,29.82000,29.75000,29.68000,
20220728,USD,本行買入,29.53000,29.88000,29.86800,29.83200,29.78400,29.72500,29.66500,29.57500,29.50000,本行賣出,30.20000,29.98000,29.97600,29.95000,29.90400,29.85200,29.80000,29.73700,29.66500,
20220727,USD,本行買入,29.53500,29.88500,29.87300,29.83500,29.78500,29.72500,29.66500,29.59500,29.50500,本行賣出,30.20500,29.98500,29.98100,29.95300,29.90700,29.85300,29.80500,29.74200,29.66000,
20220726,USD,本行買入,29.51500,29.86500,29.85400,29.82000,29.77200,29.71300,29.65400,29.57900,29.48700,本行賣出,30.18500,29.96500,29.96100,29.93500,29.88900,29.83600,29.79100,29.72500,29.64300,
20220725,USD,本行買入,29.51000,29.86000,29.84600,29.81000,29.76500,29.70500,29.64000,29.57000,29.46500,本行賣出,30.18000,29.96000,29.95600,29.93200,29.88800,29.83700,29.78200,29.71700,29.63000,
20220722,USD,本行買入,29.52000,29.87000,29.86100,29.83000,29.78500,29.72300,29.66000,29.58500,29.47000,本行賣出,30.19000,29.97000,29.96800,29.94700,29.90600,29.85500,29.80000,29.73500,29.64500,
20220721,USD,本行買入,29.49500,29.84500,29.83700,29.81200,29.76400,29.70500,29.64500,29.56500,29.44500,本行賣出,30.16500,29.94500,29.94400,29.92500,29.88500,29.83500,29.78500,29.71500,29.62000,
20220720,USD,本行買入,29.49500,29.84500,29.83700,29.81100,29.76200,29.70000,29.63900,29.57000,29.44500,本行賣出,30.16500,29.94500,29.94600,29.92500,29.88500,29.83000,29.77900,29.72000,29.62000,
20220719,USD,本行買入,29.50500,29.85500,29.84800,29.82300,29.77500,29.72300,29.65800,29.58500,29.46500,本行賣出,30.17500,29.95500,29.95600,29.93700,29.89900,29.84700,29.79700,29.73500,29.63000,
20220718,USD,本行買入,29.52000,29.87000,29.86200,29.83500,29.78400,29.72800,29.66300,29.59200,29.46600,本行賣出,30.19000,29.97000,29.97100,29.95000,29.91000,29.85900,29.80400,29.74000,29.64000,
20220715,USD,本行買入,29.55000,29.90000,29.89100,29.86000,29.81300,29.74500,29.68500,29.62000,29.52000,本行賣出,30.22000,30.00000,30.00000,29.98000,29.93800,29.88200,29.83000,29.76000,29.67200,
20220714,USD,本行買入,29.48500,29.83500,29.82500,29.79000,29.74000,29.67000,29.61000,29.52000,29.43500,本行賣出,30.15500,29.93500,29.93400,29.91300,29.87000,29.81300,29.76500,29.69500,29.60700,
20220713,USD,本行買入,29.45500,29.80500,29.79700,29.77200,29.72200,29.66200,29.59700,29.52500,29.43000,本行賣出,30.12500,29.90500,29.90700,29.88600,29.84700,29.79400,29.74700,29.68000,29.59500,
20220712,USD,本行買入,29.49500,29.84500,29.83700,29.80900,29.75700,29.69700,29.63200,29.56000,29.45500,本行賣出,30.16500,29.94500,29.94600,29.92600,29.88700,29.83000,29.78300,29.71000,29.62500,
20220711,USD,本行買入,29.42000,29.77000,29.76100,29.73400,29.68000,29.62000,29.55500,29.48500,29.37500,本行賣出,30.09000,29.87000,29.86900,29.85000,29.81000,29.75500,29.70500,29.63000,29.54500,
20220708,USD,本行買入,29.38500,29.73500,29.72500,29.69500,29.64500,29.58500,29.52000,29.45000,29.35000,本行賣出,30.05500,29.83500,29.83500,29.81500,29.77500,29.72000,29.67500,29.62000,29.51500,
20220707,USD,本行買入,29.39000,29.74000,29.73100,29.70400,29.65700,29.59800,29.54000,29.47000,29.36200,本行賣出,30.06000,29.84000,29.83900,29.82000,29.78200,29.73000,29.68500,29.63000,29.53000,
20220706,USD,本行買入,29.41000,29.76000,29.75100,29.72600,29.68000,29.61800,29.56000,29.49000,29.40000,本行賣出,30.08000,29.86000,29.86000,29.84200,29.80600,29.75500,29.71000,29.65500,29.56000,
20220705,USD,本行買入,29.37500,29.72500,29.71700,29.69300,29.65000,29.59300,29.53500,29.47500,29.37500,本行賣出,30.04500,29.82500,29.82500,29.80900,29.77500,29.72500,29.68000,29.63000,29.54000,
20220704,USD,本行買入,29.35000,29.70000,29.69200,29.66800,29.62200,29.56300,29.50500,29.44500,29.34000,本行賣出,30.02000,29.80000,29.79900,29.78400,29.74800,29.69800,29.65000,29.60000,29.51300,
20220701,USD,本行買入,29.36500,29.71500,29.70600,29.68100,29.63500,29.57500,29.51500,29.45500,29.34500,本行賣出,30.03500,29.81500,29.81400,29.79800,29.76000,29.71000,29.66000,29.61000,29.52000,
20220630,USD,本行買入,29.32000,29.67000,29.66200,29.63600,29.59000,29.53000,29.47000,29.41000,29.30000,本行賣出,29.99000,29.77000,29.76900,29.75200,29.71500,29.66500,29.61500,29.56500,29.47500,
20220629,USD,本行買入,29.27000,29.62000,29.61100,29.58500,29.54000,29.48000,29.42500,29.36000,29.25000,本行賣出,29.94000,29.72000,29.71900,29.70200,29.66600,29.61500,29.56500,29.51500,29.43000,
20220628,USD,本行買入,29.25000,29.60000,29.59200,29.57500,29.52700,29.47300,29.41700,29.34500,29.26300,本行賣出,29.92000,29.70000,29.69900,29.68400,29.64800,29.60000,29.54900,29.50000,29.42800,
20220627,USD,本行買入,29.21000,29.56000,29.55200,29.52500,29.48500,29.43500,29.37300,29.30000,29.21700,本行賣出,29.88000,29.66000,29.65900,29.64500,29.60500,29.55700,29.51000,29.45500,29.38500,
20220624,USD,本行買入,29.32500,29.67500,29.66600,29.64000,29.58800,29.53500,29.47900,29.40100,29.32100,本行賣出,29.99500,29.77500,29.77300,29.75700,29.71300,29.66700,29.61400,29.55500,29.48000,
20220623,USD,本行買入,29.38000,29.73000,29.72000,29.69000,29.64000,29.59000,29.51000,29.44500,29.36500,本行賣出,30.05000,29.83000,29.82700,29.80800,29.76000,29.71500,29.66500,29.60000,29.52000,
20220622,USD,本行買入,29.39000,29.74000,29.73000,29.69500,29.64500,29.58400,29.50000,29.44000,29.34000,本行賣出,30.06000,29.84000,29.83600,29.81300,29.76900,29.71500,29.66500,29.59200,29.51000,
20220621,USD,本行買入,29.31000,29.66000,29.65000,29.61500,29.56700,29.50200,29.41200,29.35700,29.26000,本行賣出,29.98000,29.76000,29.75600,29.73000,29.69000,29.64000,29.59000,29.51700,29.45000,
