資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,GBP,本行買入,34.62000,35.63000,35.61600,35.58900,35.54900,35.49300,35.40900,35.32600,35.24200,本行賣出,36.74000,36.03000,36.02500,36.01600,35.97900,35.92500,35.85800,35.79100,35.72500,
20220913,GBP,本行買入,35.04000,36.05000,36.03600,36.00900,35.96900,35.91300,35.82900,35.74600,35.66200,本行賣出,37.16000,36.45000,36.44500,36.43600,36.39900,36.34500,36.27800,36.21100,36.14500,
20220912,GBP,本行買入,34.88000,35.89000,35.87600,35.84900,35.80900,35.75300,35.66900,35.58600,35.50200,本行賣出,37.00000,36.29000,36.28500,36.27600,36.23900,36.18500,36.11800,36.05100,35.98500,
20220908,GBP,本行買入,34.31000,35.32000,35.30600,35.27900,35.23900,35.18300,35.09900,35.01600,34.93200,本行賣出,36.43000,35.72000,35.71500,35.70600,35.66900,35.61500,35.54800,35.48100,35.41500,
20220907,GBP,本行買入,34.42000,35.43000,35.41600,35.38900,35.34900,35.29300,35.20900,35.12600,35.04200,本行賣出,36.54000,35.83000,35.82500,35.81600,35.77900,35.72500,35.65800,35.59100,35.52500,
20220906,GBP,本行買入,34.43000,35.44000,35.42600,35.39900,35.35900,35.30300,35.21900,35.13600,35.05200,本行賣出,36.55000,35.84000,35.83500,35.82600,35.78900,35.73500,35.66800,35.60100,35.53500,
20220905,GBP,本行買入,34.07000,35.08000,35.06600,35.03900,34.99900,34.94300,34.85900,34.77600,34.69200,本行賣出,36.19000,35.48000,35.47500,35.46600,35.42900,35.37500,35.30800,35.24100,35.17500,
20220902,GBP,本行買入,34.15000,35.16000,35.14600,35.11900,35.07900,35.02300,34.93900,34.85600,34.77200,本行賣出,36.27000,35.56000,35.55500,35.54600,35.50900,35.45500,35.38800,35.32100,35.25500,
20220901,GBP,本行買入,34.24000,35.25000,35.23600,35.20900,35.16900,35.11300,35.02900,34.94600,34.86200,本行賣出,36.36000,35.65000,35.64500,35.63600,35.59900,35.54500,35.47800,35.41100,35.34500,
20220831,GBP,本行買入,34.24000,35.25000,35.23600,35.20900,35.16900,35.11300,35.02900,34.94600,34.86200,本行賣出,36.36000,35.65000,35.64500,35.63600,35.59900,35.54500,35.47800,35.41100,35.34500,
20220830,GBP,本行買入,34.56000,35.57000,35.56100,35.54200,35.50600,35.47300,35.41400,35.35500,35.29600,本行賣出,36.68000,35.97000,35.97200,35.97500,35.94600,35.90900,35.86900,35.82900,35.78800,
20220829,GBP,本行買入,34.29000,35.30000,35.29100,35.27200,35.23600,35.20300,35.14400,35.08500,35.02600,本行賣出,36.41000,35.70000,35.70200,35.70500,35.67600,35.63900,35.59900,35.55900,35.51800,
20220826,GBP,本行買入,34.42000,35.43000,35.42100,35.40200,35.36600,35.33300,35.27400,35.21500,35.15600,本行賣出,36.54000,35.83000,35.83200,35.83500,35.80600,35.76900,35.72900,35.68900,35.64800,
20220825,GBP,本行買入,34.58000,35.59000,35.58100,35.56200,35.52600,35.49300,35.43400,35.37500,35.31600,本行賣出,36.70000,35.99000,35.99200,35.99500,35.96600,35.92900,35.88900,35.84900,35.80800,
20220824,GBP,本行買入,34.60000,35.61000,35.60100,35.58200,35.54600,35.51300,35.45400,35.39500,35.33600,本行賣出,36.72000,36.01000,36.01200,36.01500,35.98600,35.94900,35.90900,35.86900,35.82800,
20220823,GBP,本行買入,34.35000,35.36000,35.35100,35.33200,35.29600,35.26300,35.20400,35.14500,35.08600,本行賣出,36.47000,35.76000,35.76200,35.76500,35.73600,35.69900,35.65900,35.61900,35.57800,
20220822,GBP,本行買入,34.31000,35.32000,35.31100,35.29200,35.25600,35.22300,35.16400,35.10500,35.04600,本行賣出,36.43000,35.72000,35.72200,35.72500,35.69600,35.65900,35.61900,35.57900,35.53800,
20220819,GBP,本行買入,34.57000,35.58000,35.57100,35.55200,35.51600,35.48300,35.42400,35.36500,35.30600,本行賣出,36.69000,35.98000,35.98200,35.98500,35.95600,35.91900,35.87900,35.83900,35.79800,
20220818,GBP,本行買入,34.89000,35.90000,35.89100,35.87200,35.83600,35.80300,35.74400,35.68500,35.62600,本行賣出,37.01000,36.30000,36.30200,36.30500,36.27600,36.23900,36.19900,36.15900,36.11800,
20220817,GBP,本行買入,35.07000,36.08000,36.07100,36.05200,36.01600,35.98300,35.92400,35.86500,35.80600,本行賣出,37.19000,36.48000,36.48200,36.48500,36.45600,36.41900,36.37900,36.33900,36.29800,
