資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220812,PHP,本行買入,0.46540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220811,PHP,本行買入,0.46820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220810,PHP,本行買入,0.46550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220809,PHP,本行買入,0.46600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220808,PHP,本行買入,0.46680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220805,PHP,本行買入,0.46920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220804,PHP,本行買入,0.46580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220803,PHP,本行買入,0.46460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220802,PHP,本行買入,0.46800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220801,PHP,本行買入,0.46810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220729,PHP,本行買入,0.46950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220728,PHP,本行買入,0.46270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220727,PHP,本行買入,0.46410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220726,PHP,本行買入,0.46710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220725,PHP,本行買入,0.45960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220722,PHP,本行買入,0.45810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220721,PHP,本行買入,0.45710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220720,PHP,本行買入,0.45760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220719,PHP,本行買入,0.45800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220718,PHP,本行買入,0.45730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220715,PHP,本行買入,0.45790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220714,PHP,本行買入,0.45860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220713,PHP,本行買入,0.45720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220712,PHP,本行買入,0.45670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220711,PHP,本行買入,0.45910,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220708,PHP,本行買入,0.45900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220707,PHP,本行買入,0.45790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220706,PHP,本行買入,0.46200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
