資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20220914,MYR,本行買入,5.85700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.33700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220913,MYR,本行買入,5.84200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.32200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220912,MYR,本行買入,5.84500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.32500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220908,MYR,本行買入,5.85400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.33400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220907,MYR,本行買入,5.85700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.33700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220906,MYR,本行買入,5.82500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.30500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220905,MYR,本行買入,5.83100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.31100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220902,MYR,本行買入,5.80900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.28900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220901,MYR,本行買入,5.79900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.27900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220831,MYR,本行買入,5.78900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.26900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220830,MYR,本行買入,5.78600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.26600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220829,MYR,本行買入,5.75900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.23900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20220826,MYR,本行買入,5.74200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.22200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
