加拿大幣 2019/07/22~2022/07/18,,
日期,銀行買入,銀行賣出
2022/7/18,23.029,23.269
2022/7/15,22.851,23.091
2022/7/14,22.702,22.942
2022/7/13,22.907,23.147
2022/7/12,22.864,23.104
2022/7/11,22.843,23.083
2022/7/8,22.879,23.119
2022/7/7,22.822,23.062
2022/7/6,22.707,22.947
2022/7/5,22.667,22.907
2022/7/4,22.958,23.198
2022/7/1,22.931,23.171
2022/6/30,22.972,23.212
2022/6/29,22.945,23.185
2022/6/28,22.886,23.126
2022/6/27,22.856,23.096
2022/6/24,22.887,23.127
2022/6/23,22.819,23.059
2022/6/22,22.907,23.147
2022/6/21,22.862,23.102
2022/6/20,22.787,23.027
2022/6/17,22.659,22.899
2022/6/16,22.844,23.084
2022/6/15,22.829,23.069
2022/6/14,22.847,23.087
2022/6/13,23.005,23.245
2022/6/10,22.997,23.237
2022/6/9,23.22,23.46
2022/6/8,23.449,23.689
2022/6/7,23.395,23.635
2022/6/6,23.275,23.515
2022/6/2,23.228,23.468
2022/6/1,22.984,23.224
2022/5/31,22.883,23.123
2022/5/30,22.887,23.127
2022/5/27,22.906,23.146
2022/5/26,22.936,23.176
2022/5/25,22.884,23.124
2022/5/24,22.936,23.176
2022/5/23,23.05,23.29
2022/5/20,22.985,23.225
2022/5/19,23.132,23.372
2022/5/18,23.03,23.27
2022/5/17,23.028,23.268
2022/5/16,23.001,23.241
2022/5/13,22.949,23.189
2022/5/12,22.772,23.012
2022/5/11,22.845,23.085
2022/5/10,22.705,22.945
2022/5/9,22.787,23.027
2022/5/6,22.91,23.15
2022/5/5,22.875,23.115
2022/5/4,22.892,23.132
2022/5/3,22.878,23.118
2022/4/29,22.863,23.103
2022/4/28,22.882,23.122
2022/4/27,22.769,23.009
2022/4/26,22.789,23.029
2022/4/25,22.856,23.096
2022/4/22,22.887,23.127
2022/4/21,23.201,23.441
2022/4/20,23.339,23.579
2022/4/19,23.039,23.279
2022/4/18,23.031,23.271
2022/4/15,22.969,23.209
2022/4/14,22.858,23.098
2022/4/13,22.956,23.196
2022/4/12,23.008,23.248
2022/4/11,22.907,23.147
2022/4/8,22.872,23.112
2022/4/7,22.763,23.003
2022/4/6,22.851,23.091
2022/4/1,22.808,23.048
2022/3/31,22.8,23.04
2022/3/30,22.767,23.007
2022/3/29,22.884,23.124
2022/3/28,22.774,23.014
2022/3/25,22.77,23.01
2022/3/24,22.714,22.954
2022/3/23,22.622,22.862
2022/3/22,22.507,22.747
2022/3/21,22.495,22.735
2022/3/18,22.323,22.563
2022/3/17,22.301,22.541
2022/3/16,22.369,22.609
2022/3/15,22.227,22.467
2022/3/14,22.25,22.49
2022/3/11,22.234,22.474
2022/3/10,22.071,22.311
2022/3/9,22.076,22.316
2022/3/8,21.953,22.193
2022/3/7,22.027,22.267
2022/3/4,21.898,22.138
2022/3/3,22.051,22.291
2022/3/2,21.982,22.222
2022/3/1,21.984,22.224
2022/2/25,21.859,22.099
2022/2/24,21.682,21.922
2022/2/23,21.814,22.054
2022/2/22,21.781,22.021
2022/2/21,21.714,21.954
2022/2/18,21.742,21.982
