新加坡幣 2019/07/22~2022/07/18,,
日期,銀行買入,銀行賣出
2022/7/18,21.314,21.534
2022/7/15,21.286,21.506
2022/7/14,21.207,21.427
2022/7/13,21.142,21.362
2022/7/12,21.16,21.38
2022/7/11,21.129,21.349
2022/7/8,21.185,21.405
2022/7/7,21.158,21.378
2022/7/6,21.084,21.304
2022/7/5,21.059,21.279
2022/7/4,21.187,21.407
2022/7/1,21.194,21.414
2022/6/30,21.279,21.499
2022/6/29,21.202,21.422
2022/6/28,21.261,21.481
2022/6/27,21.273,21.493
2022/6/24,21.332,21.552
2022/6/23,21.313,21.533
2022/6/22,21.363,21.583
2022/6/21,21.342,21.562
2022/6/20,21.331,21.551
2022/6/17,21.277,21.497
2022/6/16,21.361,21.581
2022/6/15,21.24,21.46
2022/6/14,21.213,21.433
2022/6/13,21.243,21.463
2022/6/10,21.206,21.426
2022/6/9,21.285,21.505
2022/6/8,21.362,21.582
2022/6/7,21.358,21.578
2022/6/6,21.265,21.485
2022/6/2,21.306,21.526
2022/6/1,21.17,21.39
2022/5/31,21.108,21.328
2022/5/30,21.198,21.418
2022/5/27,21.314,21.534
2022/5/26,21.344,21.564
2022/5/25,21.344,21.564
2022/5/24,21.475,21.695
2022/5/23,21.447,21.667
2022/5/20,21.367,21.587
2022/5/19,21.474,21.694
2022/5/18,21.31,21.53
2022/5/17,21.349,21.569
2022/5/16,21.275,21.495
2022/5/13,21.288,21.508
2022/5/12,21.269,21.489
2022/5/11,21.318,21.538
2022/5/10,21.259,21.479
2022/5/9,21.263,21.483
2022/5/6,21.326,21.546
2022/5/5,21.179,21.399
2022/5/4,21.26,21.48
2022/5/3,21.238,21.458
2022/4/29,21.215,21.435
2022/4/28,21.164,21.384
2022/4/27,21.173,21.393
2022/4/26,21.174,21.394
2022/4/25,21.231,21.451
2022/4/22,21.241,21.461
2022/4/21,21.313,21.533
2022/4/20,21.347,21.567
2022/4/19,21.269,21.489
2022/4/18,21.332,21.552
2022/4/15,21.342,21.562
2022/4/14,21.242,21.462
2022/4/13,21.214,21.434
2022/4/12,21.293,21.513
2022/4/11,21.178,21.398
2022/4/8,21.101,21.321
2022/4/7,21.077,21.297
2022/4/6,21.039,21.259
2022/4/1,21.039,21.259
2022/3/31,21.026,21.246
2022/3/30,21.005,21.225
2022/3/29,21.124,21.344
2022/3/28,21.015,21.235
2022/3/25,20.964,21.184
2022/3/24,20.954,21.174
2022/3/23,20.92,21.14
2022/3/22,20.917,21.137
2022/3/21,20.902,21.122
2022/3/18,20.802,21.022
2022/3/17,20.838,21.058
2022/3/16,20.926,21.146
2022/3/15,20.852,21.072
2022/3/14,20.81,21.03
2022/3/11,20.757,20.977
2022/3/10,20.733,20.953
2022/3/9,20.823,21.043
2022/3/8,20.689,20.909
2022/3/7,20.639,20.859
2022/3/4,20.527,20.747
2022/3/3,20.549,20.769
2022/3/2,20.555,20.775
2022/3/1,20.546,20.766
2022/2/25,20.585,20.805
2022/2/24,20.504,20.724
2022/2/23,20.616,20.836
2022/2/22,20.612,20.832
2022/2/21,20.573,20.793
2022/2/18,20.595,20.815
2022/2/17,20.628,20.848
2022/2/16,20.645,20.865
2022/2/15,20.62,20.84
2022/2/14,20.574,20.794
2022/2/11,20.617,20.837
2022/2/10,20.617,20.837
2022/2/9,20.628,20.848
2022/2/8,20.581,20.801
2022/2/7,20.598,20.818
2022/1/28,20.411,20.631
2022/1/27,20.436,20.656
2022/1/26,20.516,20.736
2022/1/25,20.501,20.721
2022/1/24,20.448,20.668
2022/1/22,20.477,20.697
2022/1/21,20.489,20.709
2022/1/20,20.441,20.661
2022/1/19,20.399,20.619
2022/1/18,20.345,20.565
2022/1/17,20.345,20.565
2022/1/14,20.394,20.614
2022/1/13,20.423,20.643
2022/1/12,20.421,20.641
2022/1/11,20.354,20.574
2022/1/10,20.273,20.493
2022/1/7,20.292,20.512
2022/1/6,20.205,20.425
2022/1/5,20.287,20.507
2022/1/4,20.271,20.491
2022/1/3,20.296,20.516
2021/12/30,20.364,20.584
2021/12/29,20.356,20.576
2021/12/28,20.32,20.54
2021/12/27,20.324,20.544
2021/12/24,20.313,20.533
2021/12/23,20.33,20.55
2021/12/22,20.282,20.502
2021/12/21,20.279,20.499
2021/12/20,20.264,20.484
2021/12/17,20.237,20.457
2021/12/16,20.266,20.486
2021/12/15,20.192,20.412
2021/12/14,20.197,20.417
2021/12/13,20.218,20.438
2021/12/10,20.224,20.444
2021/12/9,20.184,20.404
2021/12/8,20.242,20.462
2021/12/7,20.21,20.43
2021/12/6,20.156,20.376
2021/12/3,20.093,20.313
2021/12/2,20.183,20.403
2021/12/1,20.266,20.486
2021/11/30,20.182,20.402
2021/11/29,20.178,20.398
2021/11/26,20.177,20.397
2021/11/25,20.209,20.429
2021/11/24,20.19,20.41
2021/11/23,20.227,20.447
2021/11/22,20.26,20.48
2021/11/19,20.352,20.572
2021/11/18,20.356,20.576
2021/11/17,20.37,20.59
2021/11/16,20.392,20.612
2021/11/15,20.434,20.654
2021/11/12,20.473,20.693
2021/11/11,20.457,20.677
2021/11/10,20.478,20.698
2021/11/9,20.478,20.698
2021/11/8,20.551,20.771
2021/11/5,20.537,20.757
2021/11/4,20.503,20.723
2021/11/3,20.504,20.724
2021/11/2,20.548,20.768
2021/11/1,20.535,20.755
2021/10/29,20.494,20.714
2021/10/28,20.591,20.811
2021/10/27,20.515,20.735
2021/10/26,20.542,20.762
2021/10/25,20.577,20.797
2021/10/22,20.554,20.774
2021/10/21,20.608,20.828
2021/10/20,20.669,20.889
2021/10/19,20.654,20.874
2021/10/18,20.647,20.867
2021/10/15,20.66,20.88
2021/10/14,20.71,20.93
2021/10/13,20.695,20.915
2021/10/12,20.645,20.865
2021/10/8,20.585,20.805
2021/10/7,20.473,20.693
2021/10/6,20.444,20.664
2021/10/5,20.434,20.654
2021/10/4,20.412,20.632
2021/10/1,20.447,20.667
2021/9/30,20.371,20.591
2021/9/29,20.323,20.543
2021/9/28,20.356,20.576
2021/9/27,20.367,20.587
2021/9/24,20.371,20.591
2021/9/23,20.477,20.697
2021/9/22,20.437,20.657
2021/9/17,20.453,20.673
2021/9/16,20.473,20.693
2021/9/15,20.521,20.741
2021/9/14,20.526,20.746
2021/9/13,20.534,20.754
2021/9/11,20.544,20.764
2021/9/10,20.532,20.752
2021/9/9,20.518,20.738
2021/9/8,20.485,20.705
2021/9/7,20.415,20.635
2021/9/6,20.455,20.675
2021/9/3,20.515,20.735
2021/9/2,20.54,20.76
2021/9/1,20.523,20.743
2021/8/31,20.525,20.745
2021/8/30,20.565,20.785
2021/8/27,20.634,20.854
2021/8/26,20.511,20.731
2021/8/25,20.501,20.721
2021/8/24,20.507,20.727
2021/8/23,20.493,20.713
2021/8/20,20.443,20.663
2021/8/19,20.392,20.612
