歐元 2019/07/22~2022/07/18,,
日期,銀行買入,銀行賣出
2022/7/18,30.222,30.572
2022/7/15,30.009,30.359
2022/7/14,29.818,30.168
2022/7/13,29.916,30.266
2022/7/12,29.923,30.273
2022/7/11,29.877,30.227
2022/7/8,30.112,30.462
2022/7/7,30.093,30.443
2022/7/6,30.131,30.481
2022/7/5,30.352,30.702
2022/7/4,30.819,31.169
2022/7/1,30.786,31.136
2022/6/30,30.947,31.297
2022/6/29,30.895,31.245
2022/6/28,31.052,31.402
2022/6/27,31.207,31.557
2022/6/24,31.16,31.51
2022/6/23,31.145,31.495
2022/6/22,31.361,31.711
2022/6/21,31.166,31.516
2022/6/20,31.161,31.511
2022/6/17,30.93,31.28
2022/6/16,31.087,31.437
2022/6/15,30.728,31.078
2022/6/14,30.753,31.103
2022/6/13,30.816,31.166
2022/6/10,30.925,31.275
2022/6/9,31.287,31.637
2022/6/8,31.517,31.867
2022/6/7,31.39,31.74
2022/6/6,31.276,31.626
2022/6/2,31.357,31.707
2022/6/1,30.954,31.304
2022/5/31,31.012,31.362
2022/5/30,31.211,31.561
2022/5/27,31.231,31.581
2022/5/26,31.427,31.777
2022/5/25,31.318,31.668
2022/5/24,31.618,31.968
2022/5/23,31.435,31.785
2022/5/20,31.105,31.455
2022/5/19,31.341,31.691
2022/5/18,31.039,31.389
2022/5/17,31.145,31.495
2022/5/16,30.88,31.23
2022/5/13,30.855,31.205
2022/5/12,30.838,31.188
2022/5/11,31.144,31.494
2022/5/10,31.156,31.506
2022/5/9,31.158,31.508
2022/5/6,31.193,31.543
2022/5/5,30.838,31.188
2022/5/4,30.975,31.325
2022/5/3,30.941,31.291
2022/4/29,30.947,31.297
2022/4/28,30.851,31.201
2022/4/27,30.829,31.179
2022/4/26,31.072,31.422
2022/4/25,31.241,31.591
2022/4/22,31.372,31.722
2022/4/21,31.516,31.866
2022/4/20,31.58,31.93
2022/4/19,31.36,31.71
2022/4/18,31.323,31.673
2022/4/15,31.3,31.65
2022/4/14,31.119,31.469
2022/4/13,31.412,31.762
2022/4/12,31.476,31.826
2022/4/11,31.457,31.807
2022/4/8,31.253,31.603
2022/4/7,31.249,31.599
2022/4/6,31.174,31.524
2022/4/1,31.519,31.869
2022/3/31,31.553,31.903
2022/3/30,31.709,32.059
2022/3/29,31.805,32.155
2022/3/28,31.366,31.716
2022/3/25,31.261,31.611
2022/3/24,31.282,31.632
2022/3/23,31.23,31.58
2022/3/22,31.293,31.643
2022/3/21,31.281,31.631
2022/3/18,31.166,31.516
2022/3/17,31.293,31.643
2022/3/16,31.316,31.666
2022/3/15,31.218,31.568
2022/3/14,31.117,31.467
2022/3/11,30.946,31.296
2022/3/10,30.985,31.335
2022/3/9,31.174,31.524
2022/3/8,30.7,31.05
2022/3/7,30.546,30.896
2022/3/4,30.513,30.863
2022/3/3,30.854,31.204
2022/3/2,30.915,31.265
2022/3/1,31.053,31.403
2022/2/25,31.35,31.7
2022/2/24,31.02,31.37
2022/2/23,31.407,31.757
2022/2/22,31.424,31.774
2022/2/21,31.379,31.729
2022/2/18,31.39,31.74
2022/2/17,31.471,31.821
2022/2/16,31.533,31.883
2022/2/15,31.477,31.827
2022/2/14,31.329,31.679
2022/2/11,31.569,31.919
2022/2/10,31.645,31.995
2022/2/9,31.654,32.004
2022/2/8,31.585,31.935
2022/2/7,31.674,32.024
2022/1/28,30.858,31.208
2022/1/27,30.778,31.128
2022/1/26,31.105,31.455
2022/1/25,31.079,31.429
2022/1/24,31.156,31.506
2022/1/22,31.225,31.575
2022/1/21,31.234,31.584
2022/1/20,31.143,31.493
2022/1/19,31.172,31.522
2022/1/18,31.173,31.523
2022/1/17,31.277,31.627
2022/1/14,31.394,31.744
2022/1/13,31.473,31.823
2022/1/12,31.41,31.76
2022/1/11,31.206,31.556
2022/1/10,31.117,31.467
2022/1/7,31.239,31.589
2022/1/6,31.078,31.428
2022/1/5,31.14,31.49
2022/1/4,31.038,31.388
2022/1/3,31.034,31.384
2021/12/30,31.153,31.503
2021/12/29,31.255,31.605
2021/12/28,31.084,31.434
2021/12/27,31.201,31.551
2021/12/24,31.193,31.543
2021/12/23,31.292,31.642
2021/12/22,31.292,31.642
2021/12/21,31.209,31.559
2021/12/20,31.27,31.62
2021/12/17,31.131,31.481
2021/12/16,31.256,31.606
2021/12/15,31.119,31.469
2021/12/14,31.206,31.556
2021/12/13,31.203,31.553
2021/12/10,31.174,31.524
2021/12/9,31.101,31.451
2021/12/8,31.243,31.593
2021/12/7,31.074,31.424
2021/12/6,31.138,31.488
2021/12/3,31.08,31.43
2021/12/2,31.26,31.61
2021/12/1,31.319,31.669
2021/11/30,31.158,31.508
2021/11/29,31.144,31.494
2021/11/26,31.317,31.667
2021/11/25,30.986,31.336
2021/11/24,30.939,31.289
2021/11/23,31.089,31.439
2021/11/22,31.066,31.416
2021/11/19,31.275,31.625
2021/11/18,31.383,31.733
2021/11/17,31.289,31.639
2021/11/16,31.369,31.719
2021/11/15,31.58,31.93
2021/11/12,31.682,32.032
2021/11/11,31.727,32.077
2021/11/10,31.891,32.241
2021/11/9,31.968,32.318
2021/11/8,32.083,32.433
2021/11/5,32.03,32.38
2021/11/4,31.975,32.325
2021/11/3,32.058,32.408
2021/11/2,32.111,32.461
2021/11/1,32.08,32.43
2021/10/29,31.937,32.287
2021/10/28,32.322,32.672
2021/10/27,32.068,32.418
2021/10/26,32.091,32.441
2021/10/25,32.187,32.537
2021/10/22,32.253,32.603
2021/10/21,32.286,32.636
2021/10/20,32.326,32.676
2021/10/19,32.321,32.671
2021/10/18,32.328,32.678
