澳幣 2019/07/22~2022/07/18,,
日期,銀行買入,銀行賣出
2022/7/18,20.345,20.565
2022/7/15,20.226,20.446
2022/7/14,20.053,20.273
2022/7/13,20.132,20.352
2022/7/12,20.132,20.352
2022/7/11,20.017,20.237
2022/7/8,20.305,20.525
2022/7/7,20.232,20.452
2022/7/6,20.077,20.297
2022/7/5,20.062,20.282
2022/7/4,20.271,20.491
2022/7/1,20.101,20.321
2022/6/30,20.435,20.655
2022/6/29,20.315,20.535
2022/6/28,20.385,20.605
2022/6/27,20.435,20.655
2022/6/24,20.535,20.755
2022/6/23,20.429,20.649
2022/6/22,20.546,20.766
2022/6/21,20.612,20.832
2022/6/20,20.646,20.866
2022/6/17,20.462,20.682
2022/6/16,20.657,20.877
2022/6/15,20.553,20.773
2022/6/14,20.336,20.556
2022/6/13,20.519,20.739
2022/6/10,20.723,20.943
2022/6/9,20.921,21.141
2022/6/8,21.205,21.425
2022/6/7,21.173,21.393
2022/6/6,21.074,21.294
2022/6/2,21.207,21.427
2022/6/1,20.847,21.067
2022/5/31,20.775,20.995
2022/5/30,20.848,21.068
2022/5/27,20.865,21.085
2022/5/26,20.749,20.969
2022/5/25,20.76,20.98
2022/5/24,20.862,21.082
2022/5/23,20.926,21.146
2022/5/20,20.74,20.96
2022/5/19,20.907,21.127
2022/5/18,20.709,20.929
2022/5/17,20.736,20.956
2022/5/16,20.558,20.778
2022/5/13,20.542,20.762
2022/5/12,20.369,20.589
2022/5/11,20.706,20.926
2022/5/10,20.49,20.71
2022/5/9,20.646,20.866
2022/5/6,20.949,21.169
2022/5/5,20.886,21.106
2022/5/4,20.967,21.187
2022/5/3,20.859,21.079
2022/4/29,20.774,20.994
2022/4/28,20.809,21.029
2022/4/27,20.816,21.036
2022/4/26,20.855,21.075
2022/4/25,20.881,21.101
2022/4/22,21.108,21.328
2022/4/21,21.439,21.659
2022/4/20,21.704,21.924
2022/4/19,21.428,21.648
2022/4/18,21.37,21.59
2022/4/15,21.431,21.651
2022/4/14,21.367,21.587
2022/4/13,21.482,21.702
2022/4/12,21.726,21.946
2022/4/11,21.47,21.69
2022/4/8,21.455,21.675
2022/4/7,21.433,21.653
2022/4/6,21.559,21.779
2022/4/1,21.383,21.603
2022/3/31,21.336,21.556
2022/3/30,21.351,21.571
2022/3/29,21.489,21.709
2022/3/28,21.413,21.633
2022/3/25,21.366,21.586
2022/3/24,21.379,21.599
2022/3/23,21.285,21.505
2022/3/22,21.101,21.321
2022/3/21,20.996,21.216
2022/3/18,20.875,21.095
2022/3/17,20.778,20.998
2022/3/16,20.64,20.86
2022/3/15,20.525,20.745
2022/3/14,20.558,20.778
2022/3/11,20.669,20.889
2022/3/10,20.728,20.948
2022/3/9,20.731,20.951
2022/3/8,20.552,20.772
2022/3/7,20.67,20.89
2022/3/4,20.542,20.762
2022/3/3,20.474,20.694
2022/3/2,20.282,20.502
2022/3/1,20.259,20.479
2022/2/25,20.107,20.327
2022/2/24,19.837,20.057
2022/2/23,20.114,20.334
2022/2/22,20.005,20.225
2022/2/21,19.96,20.18
2022/2/18,19.875,20.095
2022/2/17,19.931,20.151
2022/2/16,19.889,20.109
2022/2/15,19.809,20.029
2022/2/14,19.739,19.959
2022/2/11,19.873,20.093
2022/2/10,19.959,20.179
2022/2/9,19.901,20.121
2022/2/8,19.729,19.949
2022/2/7,19.7,19.92
2022/1/28,19.342,19.562
2022/1/27,19.495,19.715
2022/1/26,19.749,19.969
2022/1/25,19.703,19.923
