瑞典幣 2019/07/22~2022/07/18,,
日期,銀行買入,銀行賣出
2022/7/18,2.8617,2.9217
2022/7/15,2.824,2.884
2022/7/14,2.8,2.86
2022/7/13,2.8085,2.8685
2022/7/12,2.8061,2.8661
2022/7/11,2.7832,2.8432
2022/7/8,2.7999,2.8599
2022/7/7,2.7931,2.8531
2022/7/6,2.7914,2.8514
2022/7/5,2.7984,2.8584
2022/7/4,2.8414,2.9014
2022/7/1,2.8489,2.9089
2022/6/30,2.8754,2.9354
2022/6/29,2.8773,2.9373
2022/6/28,2.8972,2.9572
2022/6/27,2.9129,2.9729
2022/6/24,2.905,2.965
2022/6/23,2.8922,2.9522
2022/6/22,2.926,2.986
2022/6/21,2.916,2.976
2022/6/20,2.913,2.973
2022/6/17,2.8768,2.9368
2022/6/16,2.8864,2.9464
2022/6/15,2.873,2.933
2022/6/14,2.8803,2.9403
2022/6/13,2.8892,2.9492
2022/6/10,2.9196,2.9796
2022/6/9,2.9589,3.0189
2022/6/8,2.9874,3.0474
2022/6/7,2.9821,3.0421
2022/6/6,2.9764,3.0364
2022/6/2,2.9905,3.0505
2022/6/1,2.9374,2.9974
2022/5/31,2.9454,3.0054
2022/5/30,2.9573,3.0173
2022/5/27,2.948,3.008
2022/5/26,2.9546,3.0146
2022/5/25,2.9585,3.0185
2022/5/24,2.9985,3.0585
2022/5/23,2.9833,3.0433
2022/5/20,2.947,3.007
2022/5/19,2.9768,3.0368
2022/5/18,2.941,3.001
2022/5/17,2.9629,3.0229
2022/5/16,2.9296,2.9896
2022/5/13,2.9327,2.9927
2022/5/12,2.9171,2.9771
2022/5/11,2.9424,3.0024
2022/5/10,2.9259,2.9859
2022/5/9,2.9075,2.9675
2022/5/6,2.9621,3.0221
2022/5/5,2.9344,2.9944
2022/5/4,2.9634,3.0234
2022/5/3,2.9678,3.0278
2022/4/29,2.9806,3.0406
2022/4/28,2.9709,3.0309
2022/4/27,2.9571,3.0171
2022/4/26,2.9613,3.0213
2022/4/25,2.9863,3.0463
2022/4/22,3.0334,3.0934
2022/4/21,3.0506,3.1106
2022/4/20,3.0695,3.1295
2022/4/19,3.024,3.084
2022/4/18,3.0136,3.0736
2022/4/15,3.0123,3.0723
2022/4/14,3.0119,3.0719
2022/4/13,3.031,3.091
2022/4/12,3.0434,3.1034
2022/4/11,3.0356,3.0956
2022/4/8,3.0341,3.0941
2022/4/7,3.0179,3.0779
2022/4/6,3.0102,3.0702
2022/4/1,3.0344,3.0944
2022/3/31,3.0297,3.0897
2022/3/30,3.0567,3.1167
2022/3/29,3.0676,3.1276
2022/3/28,2.9906,3.0506
2022/3/25,3.0079,3.0679
2022/3/24,3.0157,3.0757
2022/3/23,2.9892,3.0492
2022/3/22,3.0005,3.0605
2022/3/21,2.9841,3.0441
2022/3/18,2.9825,3.0425
2022/3/17,2.9853,3.0453
2022/3/16,2.9924,3.0524
2022/3/15,2.9498,3.0098
2022/3/14,2.948,3.008
2022/3/11,2.8974,2.9574
2022/3/10,2.9006,2.9606
2022/3/9,2.8983,2.9583
2022/3/8,2.8166,2.8766
2022/3/7,2.8042,2.8642
2022/3/4,2.819,2.879
2022/3/3,2.8504,2.9104
2022/3/2,2.86,2.92
2022/3/1,2.8956,2.9556
2022/2/25,2.9394,2.9994
2022/2/24,2.8826,2.9426
2022/2/23,2.9516,3.0116
2022/2/22,2.9592,3.0192
2022/2/21,2.9332,2.9932
2022/2/18,2.9412,3.0012
2022/2/17,2.9482,3.0082
2022/2/16,2.97,3.03
2022/2/15,2.9687,3.0287
2022/2/14,2.9383,2.9983
2022/2/11,2.9793,3.0393
2022/2/10,2.9845,3.0445
2022/2/9,3.0343,3.0943
2022/2/8,3.0064,3.0664
2022/2/7,3.0194,3.0794
2022/1/28,2.9192,2.9792
2022/1/27,2.9325,2.9925
2022/1/26,2.9607,3.0207
2022/1/25,2.954,3.014
2022/1/24,2.9557,3.0157
2022/1/22,2.9803,3.0403
2022/1/21,2.9864,3.0464
2022/1/20,2.9988,3.0588
2022/1/19,3.0006,3.0606
2022/1/18,3.0017,3.0617
2022/1/17,3.0299,3.0899
2022/1/14,3.0417,3.1017
2022/1/13,3.064,3.124
2022/1/12,3.0556,3.1156
2022/1/11,3.0166,3.0766
2022/1/10,2.9976,3.0576
2022/1/7,3.0189,3.0789
2022/1/6,2.9948,3.0548
2022/1/5,3.0225,3.0825
2022/1/4,3.0083,3.0683
2022/1/3,2.9998,3.0598
2021/12/30,3.0267,3.0867
2021/12/29,3.0319,3.0919
2021/12/28,3.0199,3.0799
2021/12/27,3.0113,3.0713
2021/12/24,3.0086,3.0686
2021/12/23,3.0257,3.0857
2021/12/22,3.024,3.084
2021/12/21,3.0098,3.0698
2021/12/20,3.0164,3.0764
2021/12/17,3.0227,3.0827
2021/12/16,3.0432,3.1032
2021/12/15,3.0168,3.0768
2021/12/14,3.0174,3.0774
2021/12/13,3.0259,3.0859
2021/12/10,3.0311,3.0911
2021/12/9,3.0217,3.0817
2021/12/8,3.0331,3.0931
2021/12/7,3.016,3.076
2021/12/6,3.0226,3.0826
2021/12/3,2.9924,3.0524
2021/12/2,3.0408,3.1008
2021/12/1,3.0418,3.1018
2021/11/30,3.0333,3.0933
2021/11/29,3.0296,3.0896
2021/11/26,3.0281,3.0881
2021/11/25,3.0352,3.0952
2021/11/24,3.0176,3.0776
2021/11/23,3.0482,3.1082
2021/11/22,3.0622,3.1222
2021/11/19,3.086,3.146
2021/11/18,3.0972,3.1572
2021/11/17,3.1084,3.1684
2021/11/16,3.1097,3.1697
2021/11/15,3.1409,3.2009
2021/11/12,3.1512,3.2112
2021/11/11,3.1639,3.2239
2021/11/10,3.1891,3.2491
2021/11/9,3.2071,3.2671
2021/11/8,3.2169,3.2769
2021/11/5,3.2254,3.2854
2021/11/4,3.2169,3.2769
2021/11/3,3.2186,3.2786
2021/11/2,3.2251,3.2851
2021/11/1,3.236,3.296
2021/10/29,3.2053,3.2653
2021/10/28,3.2266,3.2866
2021/10/27,3.2077,3.2677
2021/10/26,3.1996,3.2596
2021/10/25,3.2112,3.2712
2021/10/22,3.218,3.278
2021/10/21,3.2136,3.2736
2021/10/20,3.2165,3.2765
2021/10/19,3.21,3.27
2021/10/18,3.2017,3.2617
2021/10/15,3.22,3.28
2021/10/14,3.2199,3.2799
2021/10/13,3.1992,3.2592
2021/10/12,3.1797,3.2397
2021/10/8,3.1761,3.2361
2021/10/7,3.155,3.215
2021/10/6,3.1422,3.2022
2021/10/5,3.1656,3.2256
2021/10/4,3.1628,3.2228
2021/10/1,3.1532,3.2132
2021/9/30,3.1443,3.2043
2021/9/29,3.1339,3.1939
2021/9/28,3.1515,3.2115
2021/9/27,3.155,3.215
2021/9/24,3.1711,3.2311
2021/9/23,3.1845,3.2445
2021/9/22,3.1766,3.2366
2021/9/17,3.1677,3.2277
2021/9/16,3.1784,3.2384
2021/9/15,3.1962,3.2562
2021/9/14,3.1963,3.2563
2021/9/13,3.1873,3.2473
2021/9/11,3.18,3.24
2021/9/10,3.1794,3.2394
2021/9/9,3.1876,3.2476
2021/9/8,3.1848,3.2448
2021/9/7,3.188,3.248
2021/9/6,3.1921,3.2521
2021/9/3,3.2056,3.2656
2021/9/2,3.2011,3.2611
2021/9/1,3.1938,3.2538
2021/8/31,3.185,3.245
2021/8/30,3.1941,3.2541
2021/8/27,3.1997,3.2597
2021/8/26,3.1736,3.2336
2021/8/25,3.1756,3.2356
2021/8/24,3.1835,3.2435
2021/8/23,3.176,3.236
2021/8/20,3.1457,3.2057
2021/8/19,3.148,3.208
2021/8/18,3.1573,3.2173
2021/8/17,3.1587,3.2187
2021/8/16,3.1908,3.2508
2021/8/13,3.1959,3.2559
2021/8/12,3.1705,3.2305
2021/8/11,3.1715,3.2315
2021/8/10,3.1638,3.2238
2021/8/9,3.1676,3.2276
2021/8/6,3.1801,3.2401
2021/8/5,3.197,3.257
