,0050,0056,0055
2022/8/26,119.67,29.01,23.85
2022/8/25,119,28.91,23.73
2022/8/24,117.97,28.73,23.53
2022/8/23,118.36,28.84,23.6
2022/8/22,119.81,29.17,23.93
2022/8/19,121.48,29.34,24.11
2022/8/18,121.56,29.2,24.12
2022/8/17,122.58,29.23,24.3
2022/8/16,122.13,29.14,24.16
2022/8/15,122.02,29.15,24.11
2022/8/12,121,29.22,24.08
2022/8/11,120.48,29.09,24.06
2022/8/10,117.88,28.7,23.64
2022/8/9,119.14,29.01,23.4
2022/8/8,119.14,28.83,23.18
2022/8/5,119.49,28.8,23.02
2022/8/4,116.52,28.35,22.57
2022/8/3,116.88,28.4,22.59
2022/8/2,115.85,28.39,22.69
2022/8/1,117.91,28.7,22.82
2022/7/29,118.19,28.54,22.75
2022/7/28,117.1,28.19,22.73
2022/7/27,117.02,28.21,22.45
2022/7/26,115.88,28.01,22.36
2022/7/25,116.69,28.28,22.29
2022/7/22,117.08,28.36,22.18
2022/7/21,116.83,28.38,22
2022/7/20,114.92,27.93,21.73
2022/7/19,114.31,27.61,21.75
2022/7/18,114.84,27.4,21.78
2022/7/15,115.54,27.04,21.36
2022/7/14,113.87,27.15,21.81
2022/7/13,112.87,26.97,21.87
2022/7/12,109.3,26.48,21.24
2022/7/11,112.17,27.1,21.84
2022/7/8,113.26,27.17,22.14
2022/7/7,112.01,26.67,22.14
2022/7/6,108.52,26.19,22.05
2022/7/5,111.17,26.84,22.57
2022/7/4,110.07,26.55,22.32
2022/7/1,111.43,26.67,22.39
2022/6/30,115.26,27.44,22.84
2022/6/29,118.35,28.04,23.35
2022/6/28,119.64,28.47,23.53
2022/6/27,120.16,28.61,23.58
2022/6/24,118.05,28.12,23.53
2022/6/23,117.42,27.93,23.29
2022/6/22,119.02,28.34,23.24
2022/6/21,121.92,29.15,23.58
2022/6/20,119.37,28.7,22.8
2022/6/17,120.64,29.6,23.13
2022/6/16,122.44,29.82,23.52
2022/6/15,122.79,30.21,23.5
2022/6/14,123.37,30.38,23.45
2022/6/13,123.68,30.4,23.31
2022/6/10,126.84,31.01,23.68
2022/6/9,128.44,31.25,23.81
2022/6/8,129.02,31.52,24.03
2022/6/7,127.33,31.37,23.9
2022/6/6,128.43,31.37,24.02
2022/6/2,127.89,31.29,23.89
2022/6/1,129.2,31.46,23.98
2022/5/31,130.86,31.33,24.37
2022/5/30,128.66,31.36,24.08
2022/5/27,125.64,31.06,23.58
2022/5/26,122.69,30.7,23.02
2022/5/25,124.06,30.8,23.11
2022/5/24,123.12,30.54,23.2
2022/5/23,124.69,30.77,23.28
2022/5/20,124.7,30.67,23.25
2022/5/19,123.51,30.6,23.04
2022/5/18,126.2,30.95,23.63
2022/5/17,124.04,30.61,22.9
2022/5/16,122.73,30.64,23.01
2022/5/13,122.02,30.74,23.15
2022/5/12,120.64,30.57,23.14
2022/5/11,123.95,31.09,24
2022/5/10,124,31.56,24.23
2022/5/9,124.18,31.47,24.34
2022/5/6,126.59,32.16,25.23
2022/5/5,129.06,32.49,25.64
2022/5/4,128.05,32.25,25.94
2022/5/3,127.43,32.05,25.86
2022/4/29,128.59,31.92,26.16
2022/4/28,127.16,31.61,25.92
2022/4/27,125.99,31.41,25.89
2022/4/26,129.19,31.86,26.44
2022/4/25,128.94,31.91,26.08
2022/4/22,131.62,32.74,26.45
2022/4/21,132.53,32.84,26.16
2022/4/20,133.08,32.8,26.37
2022/4/19,131.72,32.71,26.14
2022/4/18,131.15,32.58,26.17
2022/4/15,131.91,32.83,26.7
2022/4/14,134.01,32.96,26.89
2022/4/13,134.67,33.07,27.53
2022/4/12,131.89,32.55,27.4
2022/4/11,132.22,32.72,27.48
2022/4/8,134.02,33.11,27.54
2022/4/7,133.48,32.77,27.25
2022/4/6,136.07,33.43,27.64
2022/4/1,137.36,33.55,27.08
2022/3/31,138.34,33.54,26.91
2022/3/30,138.63,33.63,26.67
2022/3/29,136.9,33.57,26.36
2022/3/28,136.67,33.72,26.33
2022/3/25,138.41,33.77,26.3
2022/3/24,138.06,33.96,26.49
2022/3/23,138.19,34.05,26.55
2022/3/22,136.67,33.93,26.07
2022/3/21,136.96,34.02,25.94
2022/3/18,136.08,33.87,25.92
2022/3/17,136.16,34,25.66
2022/3/16,131.71,33.6,25.15
2022/3/15,131.31,33.83,24.85
2022/3/14,133.95,34.24,24.87
2022/3/11,134.32,33.98,24.71
2022/3/10,136.02,33.99,24.91
2022/3/9,132.3,33.36,24.16
2022/3/8,130.99,32.97,24.05
2022/3/7,133.66,33.37,24.45
2022/3/4,138.09,34.11,25.17
2022/3/3,139.78,34.38,25.55
2022/3/2,139.37,34.05,25.53
2022/3/1,139.87,34.01,25.56
2022/2/25,138.3,33.31,25.23
2022/2/24,138.03,33.18,25.37
2022/2/23,141.94,33.8,25.8
2022/2/22,141.71,33.56,25.74
2022/2/21,143.37,33.93,26.07
2022/2/18,143.64,33.6,26.08
2022/2/17,144.52,33.46,26.18
2022/2/16,144.47,33.34,26.1
2022/2/15,142.01,33.02,25.93
2022/2/14,142.65,33.04,26.05
2022/2/11,145.33,33.53,26.33
2022/2/10,145.51,33.68,26.31
2022/2/9,143.25,33.62,26.28
2022/2/8,141.85,33.26,26.15
2022/2/7,142.01,32.95,25.85
2022/1/26,141,32.3,25.17
2022/1/25,141.65,32.28,25.04
2022/1/24,143.88,32.67,25.28
2022/1/21,142.49,32.83,25.34
2022/1/20,148.05,33.33,25.72
2022/1/19,148.45,33.17,25.8
2022/1/18,149.85,33.34,25.96
2022/1/17,152.08,33.17,25.8
2022/1/14,150.74,33.18,26.01
2022/1/13,150.47,33.21,26.35
2022/1/12,149.84,33.18,25.78
2022/1/11,148.74,33.26,25.66
2022/1/10,147.58,33.33,25
2022/1/7,146.82,33.27,24.95
2022/1/6,148.53,33.53,24.84
2022/1/5,149.82,33.55,24.71
2022/1/4,150.06,33.53,24.63
2022/1/3,146.83,33.5,24.57
2021/12/30,145.64,33.72,24.73
2021/12/29,145.99,33.71,24.83
2021/12/28,145.69,33.71,24.62
2021/12/27,144.01,33.49,24.39
2021/12/24,143.31,33.41,24.37
2021/12/23,143.25,33.42,24.29
2021/12/22,142.21,33.37,24.2
2021/12/21,141.84,33.42,24.21
2021/12/20,141,33.3,24.08
2021/12/17,142.63,33.45,24.3
2021/12/16,142.17,33.5,24.17
2021/12/15,140.81,33.16,24.06
2021/12/14,140.58,32.91,24.14
2021/12/13,141.45,33.34,24.35
2021/12/10,142.1,33.4,24.39
2021/12/9,142.92,33.49,24.43
2021/12/8,142.14,33.24,24.4
2021/12/7,142.25,33.2,24.32
2021/12/6,141.26,32.98,24.04
