人民幣 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,4.3664,4.4124
2022/8/25,4.3842,4.4302
2022/8/24,4.3807,4.4267
2022/8/23,4.3862,4.4322
2022/8/22,4.3569,4.4029
2022/8/19,4.3672,4.4132
2022/8/18,4.3911,4.4371
2022/8/17,4.3906,4.4366
2022/8/16,4.3871,4.4331
2022/8/15,4.3918,4.4378
2022/8/12,4.4272,4.4732
2022/8/11,4.4225,4.4685
2022/8/10,4.4429,4.4889
2022/8/9,4.4186,4.4646
2022/8/8,4.4149,4.4609
2022/8/5,4.4045,4.4505
2022/8/4,4.4177,4.4637
2022/8/3,4.4108,4.4568
2022/8/2,4.4169,4.4629
2022/8/1,4.3969,4.4429
2022/7/29,4.4078,4.4538
2022/7/28,4.4145,4.4605
2022/7/27,4.4055,4.4515
2022/7/26,4.397,4.443
2022/7/25,4.4073,4.4533
2022/7/22,4.4043,4.4503
2022/7/21,4.3861,4.4321
2022/7/20,4.3958,4.4418
2022/7/19,4.4088,4.4548
2022/7/18,4.4071,4.4531
2022/7/15,4.4042,4.4502
2022/7/14,4.402,4.448
2022/7/13,4.4183,4.4643
2022/7/12,4.4161,4.4621
2022/7/11,4.4184,4.4644
2022/7/8,4.4303,4.4763
2022/7/7,4.4229,4.4629
2022/7/6,4.4157,4.4557
2022/7/5,4.4129,4.4529
2022/7/4,4.4197,4.4597
2022/7/1,4.4202,4.4602
2022/6/30,4.4187,4.4587
2022/6/29,4.4057,4.4457
2022/6/28,4.4001,4.4401
2022/6/27,4.4048,4.4448
2022/6/24,4.427,4.467
2022/6/23,4.4209,4.4609
2022/6/22,4.4189,4.4589
2022/6/21,4.4211,4.4611
2022/6/20,4.4276,4.4676
2022/6/17,4.4011,4.4411
2022/6/16,4.4135,4.4535
2022/6/15,4.4041,4.4441
2022/6/14,4.3749,4.4149
2022/6/13,4.3701,4.4101
2022/6/10,4.3722,4.4122
2022/6/9,4.3891,4.4291
2022/6/8,4.392,4.432
2022/6/7,4.3987,4.4387
2022/6/6,4.3984,4.4384
2022/6/2,4.3869,4.4269
2022/6/1,4.3469,4.3869
2022/5/31,4.332,4.372
2022/5/30,4.3462,4.3862
2022/5/27,4.3462,4.3862
2022/5/26,4.3343,4.3743
2022/5/25,4.3799,4.4199
2022/5/24,4.4242,4.4642
2022/5/23,4.4257,4.4657
2022/5/20,4.4007,4.4407
2022/5/19,4.408,4.448
2022/5/18,4.3703,4.4103
2022/5/17,4.3874,4.4274
2022/5/16,4.3611,4.4011
2022/5/13,4.3619,4.4019
2022/5/12,4.3586,4.3986
2022/5/11,4.3831,4.4231
2022/5/10,4.3735,4.4135
2022/5/9,4.3765,4.4165
2022/5/6,4.4015,4.4415
2022/5/5,4.3896,4.4296
2022/5/4,4.4148,4.4548
2022/5/3,4.4211,4.4611
2022/4/29,4.4145,4.4545
2022/4/28,4.4099,4.4499
2022/4/27,4.4379,4.4779
2022/4/26,4.4271,4.4671
2022/4/25,4.436,4.476
2022/4/22,4.462,4.502
2022/4/21,4.4882,4.5282
2022/4/20,4.5133,4.5533
2022/4/19,4.5366,4.5766
2022/4/18,4.557,4.597
2022/4/15,4.5446,4.5846
2022/4/14,4.5153,4.5553
2022/4/13,4.538,4.578
2022/4/12,4.5513,4.5913
2022/4/11,4.5311,4.5711
2022/4/8,4.5172,4.5572
2022/4/7,4.5112,4.5512
2022/4/6,4.4953,4.5353
2022/4/1,4.4845,4.5245
2022/3/31,4.4858,4.5258
2022/3/30,4.4702,4.5102
2022/3/29,4.4925,4.5325
2022/3/28,4.4801,4.5201
2022/3/25,4.4615,4.5015
2022/3/24,4.459,4.499
2022/3/23,4.4472,4.4872
2022/3/22,4.4543,4.4943
2022/3/21,4.4513,4.4913
2022/3/18,4.4274,4.4674
2022/3/17,4.4393,4.4793
2022/3/16,4.4711,4.5111
2022/3/15,4.4593,4.4993
2022/3/14,4.4451,4.4851
2022/3/11,4.4474,4.4874
2022/3/10,4.4537,4.4937
2022/3/9,4.4749,4.5149
2022/3/8,4.4613,4.5013
2022/3/7,4.4453,4.4853
2022/3/4,4.4203,4.4603
2022/3/3,4.4152,4.4552
2022/3/2,4.4138,4.4538
2022/3/1,4.4168,4.4568
2022/2/25,4.4165,4.4565
2022/2/24,4.4071,4.4471
2022/2/23,4.395,4.435
2022/2/22,4.3888,4.4288
2022/2/21,4.381,4.421
2022/2/18,4.3838,4.4238
2022/2/17,4.3769,4.4169
2022/2/16,4.382,4.422
2022/2/15,4.3789,4.4189
2022/2/14,4.3596,4.3996
2022/2/11,4.3587,4.3987
2022/2/10,4.3554,4.3954
2022/2/9,4.3491,4.3891
2022/2/8,4.3467,4.3867
2022/2/7,4.3527,4.3927
2022/1/28,4.3517,4.3917
2022/1/27,4.3431,4.3831
2022/1/26,4.3649,4.4049
2022/1/25,4.353,4.393
2022/1/24,4.3493,4.3893
2022/1/22,4.3451,4.3851
2022/1/21,4.3458,4.3858
