南非幣 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,1.7543,1.8343
2022/8/25,1.7628,1.8428
2022/8/24,1.7452,1.8252
2022/8/23,1.7391,1.8191
2022/8/22,1.7276,1.8076
2022/8/19,1.7225,1.8025
2022/8/18,1.7419,1.8219
2022/8/17,1.7578,1.8378
2022/8/16,1.7869,1.8669
2022/8/15,1.7858,1.8658
2022/8/12,1.8065,1.8865
2022/8/11,1.8062,1.8862
2022/8/10,1.814,1.894
2022/8/9,1.767,1.847
2022/8/8,1.7623,1.8423
2022/8/5,1.744,1.824
2022/8/4,1.7577,1.8377
2022/8/3,1.7429,1.8229
2022/8/2,1.7639,1.8439
2022/8/1,1.7805,1.8605
2022/7/29,1.758,1.838
2022/7/28,1.7673,1.8473
2022/7/27,1.7392,1.8192
2022/7/26,1.7233,1.8033
2022/7/25,1.7396,1.8196
2022/7/22,1.7408,1.8208
2022/7/21,1.7099,1.7899
2022/7/20,1.7045,1.7845
2022/7/19,1.7134,1.7934
2022/7/18,1.7099,1.7899
2022/7/15,1.713,1.793
2022/7/14,1.7022,1.7822
2022/7/13,1.7225,1.8025
2022/7/12,1.7207,1.8007
2022/7/11,1.7089,1.7889
2022/7/8,1.7229,1.8029
2022/7/7,1.7386,1.8186
2022/7/6,1.7306,1.8106
2022/7/5,1.757,1.837
2022/7/4,1.7784,1.8584
2022/7/1,1.7715,1.8515
2022/6/30,1.7853,1.8653
2022/6/29,1.7815,1.8615
2022/6/28,1.8105,1.8905
2022/6/27,1.8275,1.9075
2022/6/24,1.8379,1.9179
2022/6/23,1.8235,1.9035
2022/6/22,1.8335,1.9135
2022/6/21,1.8312,1.9112
2022/6/20,1.8149,1.8949
2022/6/17,1.8144,1.8944
2022/6/16,1.8086,1.8886
2022/6/15,1.8153,1.8953
2022/6/14,1.8078,1.8878
2022/6/13,1.8098,1.8898
2022/6/10,1.8262,1.9062
2022/6/9,1.8773,1.9573
2022/6/8,1.8924,1.9724
2022/6/7,1.8798,1.9598
2022/6/6,1.8699,1.9499
2022/6/2,1.8579,1.9379
2022/6/1,1.8301,1.9101
2022/5/31,1.8228,1.9028
2022/5/30,1.8402,1.9202
