日幣 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,0.2186,0.2221
2022/8/25,0.2196,0.2231
2022/8/24,0.2194,0.2229
2022/8/23,0.2198,0.2233
2022/8/22,0.2171,0.2206
2022/8/19,0.2175,0.221
2022/8/18,0.22,0.2235
2022/8/17,0.2198,0.2233
2022/8/16,0.2215,0.225
2022/8/15,0.2235,0.227
2022/8/12,0.2228,0.2263
2022/8/11,0.224,0.2275
2022/8/10,0.2248,0.2283
2022/8/9,0.2205,0.224
2022/8/8,0.221,0.2245
2022/8/5,0.2197,0.2232
2022/8/4,0.2232,0.2267
2022/8/3,0.2218,0.2253
2022/8/2,0.2254,0.2289
2022/8/1,0.2258,0.2293
2022/7/29,0.2227,0.2262
2022/7/28,0.221,0.2245
2022/7/27,0.2163,0.2198
2022/7/26,0.2173,0.2208
2022/7/25,0.217,0.2205
2022/7/22,0.218,0.2215
2022/7/21,0.2149,0.2184
2022/7/20,0.2147,0.2182
2022/7/19,0.2151,0.2186
2022/7/18,0.2147,0.2182
2022/7/15,0.2144,0.2179
2022/7/14,0.2135,0.217
2022/7/13,0.2157,0.2192
2022/7/12,0.217,0.2205
2022/7/11,0.2155,0.219
2022/7/8,0.2171,0.2206
2022/7/7,0.2174,0.2209
2022/7/6,0.2178,0.2213
2022/7/5,0.2177,0.2212
2022/7/4,0.2175,0.221
2022/7/1,0.2184,0.2219
2022/6/30,0.2173,0.2208
2022/6/29,0.2156,0.2191
2022/6/28,0.216,0.2195
2022/6/27,0.2171,0.2206
2022/6/24,0.2183,0.2218
2022/6/23,0.2193,0.2228
2022/6/22,0.2172,0.2207
2022/6/21,0.2163,0.2198
2022/6/20,0.2186,0.2221
2022/6/17,0.2183,0.2218
2022/6/16,0.2238,0.2273
2022/6/15,0.2194,0.2229
2022/6/14,0.2184,0.2219
2022/6/13,0.2198,0.2233
2022/6/10,0.2187,0.2222
2022/6/9,0.2187,0.2222
2022/6/8,0.2187,0.2222
2022/6/7,0.2209,0.2244
2022/6/6,0.2219,0.2254
2022/6/2,0.2246,0.2281
2022/6/1,0.2235,0.227
2022/5/31,0.2243,0.2278
2022/5/30,0.2267,0.2302
2022/5/27,0.2291,0.2326
2022/5/26,0.2299,0.2334
2022/5/25,0.2303,0.2338
2022/5/24,0.2321,0.2356
2022/5/23,0.23,0.2335
2022/5/20,0.2303,0.2338
2022/5/19,0.2313,0.2348
2022/5/18,0.23,0.2335
2022/5/17,0.2282,0.2317
2022/5/16,0.2292,0.2327
2022/5/13,0.2287,0.2322
2022/5/12,0.2309,0.2344
2022/5/11,0.2264,0.2299
2022/5/10,0.2265,0.23
2022/5/9,0.2267,0.2302
2022/5/6,0.2259,0.2294
2022/5/5,0.2247,0.2282
2022/5/4,0.2254,0.2289
2022/5/3,0.2255,0.229
2022/4/29,0.2257,0.2292
2022/4/28,0.224,0.2275
2022/4/27,0.227,0.2305
2022/4/26,0.2284,0.2319
2022/4/25,0.2284,0.2319
2022/4/22,0.2254,0.2289
2022/4/21,0.2254,0.2289
2022/4/20,0.2272,0.2307
2022/4/19,0.2256,0.2291
2022/4/18,0.2287,0.2322
2022/4/15,0.2288,0.2323
2022/4/14,0.2285,0.232
2022/4/13,0.2296,0.2331
2022/4/12,0.2311,0.2346
2022/4/11,0.2298,0.2333
2022/4/8,0.2308,0.2343
2022/4/7,0.2311,0.2346
2022/4/6,0.2306,0.2341
2022/4/1,0.2323,0.2358
2022/3/31,0.2337,0.2372
2022/3/30,0.2327,0.2362
2022/3/29,0.2329,0.2364
2022/3/28,0.2314,0.2349
2022/3/25,0.2327,0.2362
2022/3/24,0.2327,0.2362
2022/3/23,0.2342,0.2377
2022/3/22,0.2347,0.2382
2022/3/21,0.2372,0.2407
2022/3/18,0.2362,0.2397
2022/3/17,0.2375,0.241
2022/3/16,0.2398,0.2433
2022/3/15,0.2404,0.2439
2022/3/14,0.2401,0.2436
2022/3/11,0.241,0.2445
2022/3/10,0.2423,0.2458
2022/3/9,0.2441,0.2476
2022/3/8,0.244,0.2475
2022/3/7,0.2433,0.2468
2022/3/4,0.2431,0.2466
2022/3/3,0.241,0.2445
2022/3/2,0.2415,0.245
2022/3/1,0.2424,0.2459
2022/2/25,0.2406,0.2441
2022/2/24,0.2411,0.2446
2022/2/23,0.2405,0.244
2022/2/22,0.2403,0.2438
2022/2/21,0.2405,0.244
2022/2/18,0.2404,0.2439
2022/2/17,0.2406,0.2441
2022/2/16,0.2397,0.2432
2022/2/15,0.2392,0.2427
2022/2/14,0.2394,0.2429
2022/2/11,0.2386,0.2421
2022/2/10,0.2381,0.2416
2022/2/9,0.2393,0.2428
2022/2/8,0.2393,0.2428
2022/2/7,0.2403,0.2438
2022/1/28,0.2396,0.2431
2022/1/27,0.2393,0.2428
2022/1/26,0.241,0.2445
2022/1/25,0.2415,0.245
2022/1/24,0.2413,0.2448
2022/1/22,0.2418,0.2453
2022/1/21,0.2418,0.2453
2022/1/20,0.2404,0.2439
2022/1/19,0.24,0.2435
2022/1/18,0.2392,0.2427
2022/1/17,0.2391,0.2426
2022/1/14,0.241,0.2445
2022/1/13,0.2401,0.2436
2022/1/12,0.2389,0.2424
2022/1/11,0.2381,0.2416
2022/1/10,0.2382,0.2417
2022/1/7,0.2378,0.2413
2022/1/6,0.2373,0.2408
2022/1/5,0.2367,0.2402
2022/1/4,0.236,0.2395
2022/1/3,0.2378,0.2413
2021/12/30,0.2387,0.2422
2021/12/29,0.2393,0.2428
2021/12/28,0.2394,0.2429
2021/12/27,0.2396,0.2431
2021/12/24,0.2408,0.2443
2021/12/23,0.2412,0.2447
2021/12/22,0.2416,0.2451
2021/12/21,0.2425,0.246
2021/12/20,0.2437,0.2472
2021/12/17,0.2428,0.2463
2021/12/16,0.2428,0.2463
2021/12/15,0.2425,0.246
2021/12/14,0.2428,0.2463
2021/12/13,0.2433,0.2468
2021/12/10,0.2429,0.2464
2021/12/9,0.2425,0.246
2021/12/8,0.242,0.2455
2021/12/7,0.2427,0.2462
2021/12/6,0.2433,0.2468
2021/12/3,0.2431,0.2466
2021/12/2,0.2441,0.2476
2021/12/1,0.244,0.2475
2021/11/30,0.2431,0.2466
2021/11/29,0.243,0.2465
2021/11/26,0.244,0.2475
2021/11/25,0.2392,0.2427
2021/11/24,0.239,0.2425
2021/11/23,0.2398,0.2433
2021/11/22,0.2405,0.244
2021/11/19,0.2423,0.2458
2021/11/18,0.2416,0.2451
2021/11/17,0.2413,0.2448
2021/11/16,0.2411,0.2446
2021/11/15,0.2419,0.2454
2021/11/12,0.2426,0.2461
2021/11/11,0.2425,0.246
2021/11/10,0.2427,0.2462
2021/11/9,0.244,0.2475
2021/11/8,0.2444,0.2479
2021/11/5,0.244,0.2475
2021/11/4,0.2435,0.247
2021/11/3,0.2424,0.2459
2021/11/2,0.2431,0.2466
2021/11/1,0.2421,0.2456
2021/10/29,0.2422,0.2457
2021/10/28,0.2438,0.2473
2021/10/27,0.2427,0.2462
2021/10/26,0.242,0.2455
2021/10/25,0.2434,0.2469
2021/10/22,0.2438,0.2473
2021/10/21,0.2435,0.247
2021/10/20,0.2426,0.2461
2021/10/19,0.2427,0.2462
2021/10/18,0.2434,0.2469
2021/10/15,0.2433,0.2468
2021/10/14,0.2454,0.2489
2021/10/13,0.2463,0.2498
2021/10/12,0.246,0.2495
2021/10/8,0.2483,0.2518
2021/10/7,0.249,0.2525
2021/10/6,0.2494,0.2529
2021/10/5,0.2484,0.2519
2021/10/4,0.2494,0.2529
2021/10/1,0.2492,0.2527
2021/9/30,0.248,0.2515
2021/9/29,0.2468,0.2503
2021/9/28,0.2477,0.2512
2021/9/27,0.2481,0.2516
2021/9/24,0.2486,0.2521
2021/9/23,0.2502,0.2537
2021/9/22,0.2515,0.255
2021/9/17,0.2503,0.2538
2021/9/16,0.2509,0.2544
2021/9/15,0.2512,0.2547
2021/9/14,0.2509,0.2544
2021/9/13,0.2503,0.2538
2021/9/11,0.2504,0.2539
2021/9/10,0.25,0.2535
2021/9/9,0.2507,0.2542
2021/9/8,0.2496,0.2531
2021/9/7,0.2489,0.2524
2021/9/6,0.2497,0.2532
2021/9/3,0.2506,0.2541
2021/9/2,0.2504,0.2539
2021/9/1,0.2503,0.2538
2021/8/31,0.2505,0.254
2021/8/30,0.2512,0.2547
2021/8/27,0.2524,0.2559
2021/8/26,0.2519,0.2554
2021/8/25,0.2519,0.2554
2021/8/24,0.253,0.2565
2021/8/23,0.253,0.2565
2021/8/20,0.2535,0.257
2021/8/19,0.2531,0.2566
2021/8/18,0.2514,0.2549
2021/8/17,0.2524,0.2559
2021/8/16,0.2533,0.2568
2021/8/13,0.2521,0.2556
2021/8/12,0.2503,0.2538
2021/8/11,0.2503,0.2538
2021/8/10,0.25,0.2535
2021/8/9,0.2507,0.2542
2021/8/6,0.2506,0.2541
2021/8/5,0.2514,0.2549
2021/8/4,0.2521,0.2556
2021/8/3,0.2544,0.2579
2021/8/2,0.2538,0.2573
2021/7/30,0.253,0.2565
2021/7/29,0.2534,0.2569
2021/7/28,0.2525,0.256
2021/7/27,0.2541,0.2576
2021/7/26,0.2527,0.2562
2021/7/23,0.2519,0.2554
2021/7/22,0.2526,0.2561
2021/7/21,0.2529,0.2564
2021/7/20,0.2535,0.257
2021/7/19,0.2543,0.2578
2021/7/16,0.2526,0.2561
2021/7/15,0.2518,0.2553
2021/7/14,0.2527,0.2562
2021/7/13,0.2519,0.2554
2021/7/12,0.252,0.2555
2021/7/9,0.2529,0.2564
2021/7/8,0.2534,0.2569
2021/7/7,0.2513,0.2548
2021/7/6,0.2506,0.2541
2021/7/5,0.2498,0.2533
2021/7/2,0.2497,0.2532
2021/7/1,0.2482,0.2517
2021/6/30,0.2493,0.2528
2021/6/29,0.2508,0.2543
2021/6/28,0.2507,0.2542
2021/6/25,0.2499,0.2534
2021/6/24,0.2508,0.2543
2021/6/23,0.2509,0.2544
2021/6/22,0.2506,0.2541
2021/6/21,0.2516,0.2551
2021/6/18,0.2503,0.2538
2021/6/17,0.2498,0.2533
2021/6/16,0.2501,0.2536
2021/6/15,0.2494,0.2529
2021/6/11,0.2499,0.2534
2021/6/10,0.2509,0.2544
2021/6/9,0.2515,0.255
2021/6/8,0.2512,0.2547
2021/6/7,0.2518,0.2553
2021/6/4,0.2513,0.2548
2021/6/3,0.2496,0.2531
2021/6/2,0.251,0.2545
