泰銖 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,0.8158,0.8558
2022/8/25,0.8227,0.8627
2022/8/24,0.8193,0.8593
2022/8/23,0.8188,0.8588
2022/8/22,0.8124,0.8524
2022/8/19,0.8198,0.8598
2022/8/18,0.8224,0.8624
2022/8/17,0.8248,0.8648
2022/8/16,0.8266,0.8666
2022/8/15,0.8252,0.8652
2022/8/12,0.8291,0.8691
2022/8/11,0.8313,0.8713
2022/8/10,0.8302,0.8702
2022/8/9,0.8285,0.8685
2022/8/8,0.8217,0.8617
2022/8/5,0.8155,0.8555
2022/8/4,0.8163,0.8563
2022/8/3,0.807,0.847
2022/8/2,0.8114,0.8514
2022/8/1,0.8074,0.8474
2022/7/29,0.7988,0.8388
2022/7/28,0.7983,0.8383
2022/7/27,0.7915,0.8315
2022/7/26,0.7948,0.8348
2022/7/25,0.7946,0.8346
2022/7/22,0.7973,0.8373
2022/7/21,0.7923,0.8323
2022/7/20,0.7955,0.8355
2022/7/19,0.7965,0.8365
2022/7/18,0.7999,0.8399
2022/7/15,0.7996,0.8396
2022/7/14,0.7966,0.8366
2022/7/13,0.8054,0.8454
2022/7/12,0.8058,0.8458
2022/7/11,0.8031,0.8431
2022/7/8,0.8099,0.8499
2022/7/7,0.8063,0.8463
2022/7/6,0.8007,0.8407
2022/7/5,0.8077,0.8477
2022/7/4,0.8129,0.8529
2022/7/1,0.8149,0.8549
2022/6/30,0.8208,0.8608
2022/6/29,0.8224,0.8624
2022/6/28,0.823,0.863
2022/6/27,0.817,0.857
2022/6/24,0.8185,0.8585
2022/6/23,0.8199,0.8599
2022/6/22,0.8234,0.8634
2022/6/21,0.8207,0.8607
2022/6/20,0.822,0.862
2022/6/17,0.8226,0.8626
2022/6/16,0.8269,0.8669
2022/6/15,0.8306,0.8706
2022/6/14,0.8283,0.8683
2022/6/13,0.831,0.871
2022/6/10,0.832,0.872
2022/6/9,0.8344,0.8744
2022/6/8,0.8355,0.8755
2022/6/7,0.8366,0.8766
2022/6/6,0.8358,0.8758
2022/6/2,0.8375,0.8775
2022/6/1,0.8308,0.8708
2022/5/31,0.8262,0.8662
2022/5/30,0.8336,0.8736
2022/5/27,0.8398,0.8798
2022/5/26,0.8404,0.8804
2022/5/25,0.8403,0.8803
2022/5/24,0.8477,0.8877
2022/5/23,0.8465,0.8865
2022/5/20,0.8421,0.8821
2022/5/19,0.845,0.885
2022/5/18,0.8377,0.8777
2022/5/17,0.8399,0.8799
2022/5/16,0.8384,0.8784
2022/5/13,0.8388,0.8788
2022/5/12,0.8392,0.8792
2022/5/11,0.838,0.878
2022/5/10,0.8383,0.8783
2022/5/9,0.8398,0.8798
2022/5/6,0.8438,0.8838
2022/5/5,0.8386,0.8786
2022/5/4,0.8404,0.8804
2022/5/3,0.8421,0.8821
2022/4/29,0.8405,0.8805
2022/4/28,0.8363,0.8763
2022/4/27,0.8349,0.8749
2022/4/26,0.8349,0.8749
2022/4/25,0.8405,0.8805
2022/4/22,0.8412,0.8812
2022/4/21,0.8417,0.8817
2022/4/20,0.8464,0.8864
2022/4/19,0.8452,0.8852
2022/4/18,0.8463,0.8863
2022/4/15,0.8463,0.8863
2022/4/14,0.8404,0.8804
2022/4/13,0.8483,0.8883
2022/4/12,0.85,0.89
2022/4/11,0.8446,0.8846
2022/4/8,0.8417,0.8817
2022/4/7,0.8411,0.8811
2022/4/6,0.8362,0.8762
2022/4/1,0.8382,0.8782
2022/3/31,0.8404,0.8804
2022/3/30,0.8368,0.8768
2022/3/29,0.8393,0.8793
2022/3/28,0.831,0.871
2022/3/25,0.8323,0.8723
2022/3/24,0.8334,0.8734
2022/3/23,0.8301,0.8701
2022/3/22,0.8324,0.8724
2022/3/21,0.8293,0.8693
2022/3/18,0.8312,0.8712
2022/3/17,0.8344,0.8744
2022/3/16,0.8375,0.8775
2022/3/15,0.8344,0.8744
2022/3/14,0.8341,0.8741
2022/3/11,0.8332,0.8732
2022/3/10,0.8347,0.8747
2022/3/9,0.8407,0.8807
2022/3/8,0.835,0.875
2022/3/7,0.8378,0.8778
2022/3/4,0.8397,0.8797
2022/3/3,0.8412,0.8812
2022/3/2,0.8426,0.8826
2022/3/1,0.8374,0.8774
2022/2/25,0.8417,0.8817
2022/2/24,0.8325,0.8725
2022/2/23,0.8432,0.8832
2022/2/22,0.841,0.881
2022/2/21,0.8434,0.8834
2022/2/18,0.8463,0.8863
2022/2/17,0.8477,0.8877
2022/2/16,0.8451,0.8851
2022/2/15,0.8418,0.8818
2022/2/14,0.8382,0.8782
2022/2/11,0.8324,0.8724
2022/2/10,0.8334,0.8734
2022/2/9,0.8304,0.8704
2022/2/8,0.8247,0.8647
2022/2/7,0.8242,0.8642
2022/1/28,0.8124,0.8524
2022/1/27,0.815,0.855
2022/1/26,0.8199,0.8599
2022/1/25,0.8197,0.8597
2022/1/24,0.817,0.857
2022/1/22,0.821,0.861
2022/1/21,0.8193,0.8593
2022/1/20,0.8219,0.8619
2022/1/19,0.819,0.859
2022/1/18,0.8145,0.8545
2022/1/17,0.8146,0.8546
2022/1/14,0.8118,0.8518
2022/1/13,0.8118,0.8518
2022/1/12,0.8104,0.8504
2022/1/11,0.8084,0.8484
2022/1/10,0.8023,0.8423
2022/1/7,0.8028,0.8428
2022/1/6,0.8036,0.8436
2022/1/5,0.813,0.853
2022/1/4,0.8079,0.8479
