港幣 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,3.827,3.877
2022/8/25,3.8233,3.8733
2022/8/24,3.8324,3.8824
2022/8/23,3.8237,3.8737
2022/8/22,3.8114,3.8614
2022/8/19,3.8008,3.8508
2022/8/18,3.8,3.85
2022/8/17,3.799,3.849
2022/8/16,3.8007,3.8507
2022/8/15,3.8014,3.8514
2022/8/12,3.8006,3.8506
2022/8/11,3.7938,3.8438
2022/8/10,3.8004,3.8504
2022/8/9,3.7964,3.8464
2022/8/8,3.797,3.847
2022/8/5,3.7916,3.8416
2022/8/4,3.7969,3.8469
2022/8/3,3.797,3.847
2022/8/2,3.7976,3.8476
2022/8/1,3.7938,3.8438
2022/7/29,3.7887,3.8387
2022/7/28,3.7886,3.8386
2022/7/27,3.7893,3.8393
2022/7/26,3.7864,3.8364
2022/7/25,3.7859,3.8359
2022/7/22,3.7878,3.8378
2022/7/21,3.7825,3.8325
2022/7/20,3.7836,3.8336
2022/7/19,3.7843,3.8343
2022/7/18,3.7859,3.8359
2022/7/15,3.7898,3.8398
2022/7/14,3.7816,3.8316
2022/7/13,3.7779,3.8279
2022/7/12,3.783,3.833
2022/7/11,3.7738,3.8238
2022/7/8,3.77,3.82
2022/7/7,3.7704,3.8204
2022/7/6,3.7731,3.8231
2022/7/5,3.7694,3.8194
2022/7/4,3.7659,3.8159
2022/7/1,3.7686,3.8186
2022/6/30,3.7632,3.8132
2022/6/29,3.7569,3.8069
2022/6/28,3.7533,3.8033
2022/6/27,3.7477,3.7977
2022/6/24,3.7621,3.8121
2022/6/23,3.7684,3.8184
2022/6/22,3.7696,3.8196
2022/6/21,3.7595,3.8095
2022/6/20,3.7639,3.8139
2022/6/17,3.7605,3.8105
2022/6/16,3.7629,3.8129
2022/6/15,3.7633,3.8133
2022/6/14,3.7596,3.8096
2022/6/13,3.7615,3.8115
2022/6/10,3.7431,3.7931
2022/6/9,3.7363,3.7863
2022/6/8,3.7369,3.7869
2022/6/7,3.7363,3.7863
2022/6/6,3.7235,3.7735
2022/6/2,3.7182,3.7682
2022/6/1,3.7045,3.7545
2022/5/31,3.6781,3.7281
2022/5/30,3.6853,3.7353
2022/5/27,3.7122,3.7622
2022/5/26,3.7303,3.7803
2022/5/25,3.738,3.788
2022/5/24,3.7475,3.7975
2022/5/23,3.7481,3.7981
2022/5/20,3.7534,3.8034
2022/5/19,3.7671,3.8171
2022/5/18,3.7597,3.8097
2022/5/17,3.762,3.812
2022/5/16,3.7729,3.8229
2022/5/13,3.7714,3.8214
2022/5/12,3.7752,3.8252
2022/5/11,3.7586,3.8086
2022/5/10,3.7594,3.8094
2022/5/9,3.7638,3.8138
2022/5/6,3.7537,3.8037
2022/5/5,3.7334,3.7834
2022/5/4,3.7359,3.7859
2022/5/3,3.7377,3.7877
2022/4/29,3.7293,3.7793
2022/4/28,3.7367,3.7867
2022/4/27,3.7204,3.7704
2022/4/26,3.7105,3.7605
2022/4/25,3.7149,3.7649
2022/4/22,3.7043,3.7543
2022/4/21,3.6964,3.7464
2022/4/20,3.7058,3.7558
2022/4/19,3.7038,3.7538
2022/4/18,3.6979,3.7479
2022/4/15,3.6877,3.7377
2022/4/14,3.6726,3.7226
2022/4/13,3.6843,3.7343
2022/4/12,3.695,3.745
2022/4/11,3.6826,3.7326
2022/4/8,3.6633,3.7133
2022/4/7,3.654,3.704
2022/4/6,3.6428,3.6928
2022/4/1,3.6376,3.6876
2022/3/31,3.6294,3.6794
2022/3/30,3.6244,3.6744
2022/3/29,3.6518,3.7018
2022/3/28,3.6475,3.6975
2022/3/25,3.6298,3.6798
2022/3/24,3.6292,3.6792
2022/3/23,3.6236,3.6736
2022/3/22,3.6213,3.6713
2022/3/21,3.613,3.663
2022/3/18,3.5985,3.6485
2022/3/17,3.6055,3.6555
2022/3/16,3.6346,3.6846
2022/3/15,3.6319,3.6819
2022/3/14,3.6176,3.6676
2022/3/11,3.6017,3.6517
2022/3/10,3.5956,3.6456
2022/3/9,3.6118,3.6618
2022/3/8,3.603,3.653
2022/3/7,3.5903,3.6403
2022/3/4,3.5732,3.6232
2022/3/3,3.5651,3.6151
2022/3/2,3.5674,3.6174
2022/3/1,3.5606,3.6106
2022/2/25,3.5639,3.6139
2022/2/24,3.5628,3.6128
2022/2/23,3.5473,3.5973
2022/2/22,3.5483,3.5983
2022/2/21,3.5419,3.5919
2022/2/18,3.5471,3.5971
2022/2/17,3.5473,3.5973
2022/2/16,3.5502,3.6002
2022/2/15,3.5494,3.5994
2022/2/14,3.5472,3.5972
2022/2/11,3.5453,3.5953
2022/2/10,3.544,3.594
2022/2/9,3.5456,3.5956
2022/2/8,3.5464,3.5964
2022/2/7,3.5476,3.5976
2022/1/28,3.5458,3.5958
2022/1/27,3.5436,3.5936
2022/1/26,3.5381,3.5881
2022/1/25,3.5337,3.5837
2022/1/24,3.5308,3.5808
2022/1/22,3.5305,3.5805
2022/1/21,3.5316,3.5816
2022/1/20,3.5228,3.5728
2022/1/19,3.5223,3.5723
2022/1/18,3.5187,3.5687
2022/1/17,3.5157,3.5657
2022/1/14,3.5224,3.5724
2022/1/13,3.5226,3.5726
2022/1/12,3.5253,3.5753
2022/1/11,3.5251,3.5751
2022/1/10,3.523,3.573
2022/1/7,3.525,3.575
2022/1/6,3.5183,3.5683
2022/1/5,3.5174,3.5674
2022/1/4,3.5175,3.5675
2022/1/3,3.5177,3.5677
2021/12/30,3.5244,3.5744
2021/12/29,3.5239,3.5739
2021/12/28,3.5244,3.5744
2021/12/27,3.5275,3.5775
2021/12/24,3.531,3.581
2021/12/23,3.5379,3.5879
2021/12/22,3.5406,3.5906
