瑞士法郎 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,31.166,31.506
2022/8/25,31.168,31.508
2022/8/24,31.165,31.505
2022/8/23,31.179,31.519
2022/8/22,31.03,31.37
2022/8/19,31.114,31.454
2022/8/18,31.257,31.597
2022/8/17,31.281,31.621
2022/8/16,31.386,31.726
2022/8/15,31.565,31.905
2022/8/12,31.636,31.976
2022/8/11,31.697,32.037
2022/8/10,31.732,32.072
2022/8/9,31.319,31.659
2022/8/8,31.265,31.605
2022/8/5,30.933,31.273
2022/8/4,31.157,31.497
2022/8/3,30.962,31.302
2022/8/2,31.297,31.637
2022/8/1,31.434,31.774
2022/7/29,31.226,31.566
2022/7/28,31.109,31.449
2022/7/27,30.843,31.183
2022/7/26,30.887,31.227
2022/7/25,30.817,31.157
2022/7/22,30.949,31.289
2022/7/21,30.654,30.994
2022/7/20,30.563,30.903
2022/7/19,30.714,31.054
2022/7/18,30.462,30.802
2022/7/15,30.438,30.778
2022/7/14,30.235,30.575
2022/7/13,30.338,30.678
2022/7/12,30.292,30.632
2022/7/11,30.264,30.604
2022/7/8,30.275,30.615
2022/7/7,30.451,30.791
2022/7/6,30.5,30.84
2022/7/5,30.569,30.909
2022/7/4,30.772,31.112
2022/7/1,30.75,31.09
2022/6/30,30.972,31.312
2022/6/29,30.907,31.247
2022/6/28,30.83,31.17
2022/6/27,30.812,31.152
2022/6/24,30.87,31.21
2022/6/23,30.844,31.184
2022/6/22,30.81,31.15
2022/6/21,30.586,30.926
2022/6/20,30.622,30.962
2022/6/17,30.412,30.752
2022/6/16,30.549,30.889
2022/6/15,29.534,29.874
2022/6/14,29.463,29.803
2022/6/13,29.632,29.972
2022/6/10,29.739,30.079
2022/6/9,30.019,30.359
2022/6/8,30.109,30.449
2022/6/7,30.157,30.497
2022/6/6,30.178,30.518
2022/6/2,30.449,30.789
2022/6/1,30.149,30.489
2022/5/31,30.145,30.485
2022/5/30,30.239,30.579
2022/5/27,30.453,30.793
2022/5/26,30.515,30.855
2022/5/25,30.492,30.832
2022/5/24,30.654,30.994
2022/5/23,30.477,30.817
2022/5/20,30.227,30.567
2022/5/19,30.416,30.756
2022/5/18,29.856,30.196
2022/5/17,29.787,30.127
2022/5/16,29.565,29.905
2022/5/13,29.584,29.924
2022/5/12,29.68,30.02
2022/5/11,29.824,30.164
2022/5/10,29.709,30.049
2022/5/9,29.74,30.08
2022/5/6,29.931,30.271
2022/5/5,29.736,30.076
2022/5/4,29.873,30.213
2022/5/3,30.04,30.38
2022/4/29,30.167,30.507
2022/4/28,30.208,30.548
2022/4/27,30.135,30.475
2022/4/26,30.336,30.676
2022/4/25,30.454,30.794
2022/4/22,30.34,30.68
2022/4/21,30.481,30.821
2022/4/20,30.713,31.053
2022/4/19,30.638,30.978
2022/4/18,30.759,31.099
2022/4/15,30.706,31.046
2022/4/14,30.622,30.962
2022/4/13,30.962,31.302
2022/4/12,31.171,31.511
2022/4/11,31.047,31.387
2022/4/8,30.805,31.145
2022/4/7,30.732,31.072
2022/4/6,30.645,30.985
2022/4/1,30.821,31.161
2022/3/31,30.883,31.223
2022/3/30,30.771,31.111
2022/3/29,30.756,31.096
2022/3/28,30.594,30.934
2022/3/25,30.582,30.922
2022/3/24,30.541,30.881
2022/3/23,30.476,30.816
2022/3/22,30.436,30.776
2022/3/21,30.445,30.785
2022/3/18,30.203,30.543
2022/3/17,30.115,30.455
2022/3/16,30.219,30.559
2022/3/15,30.222,30.562
2022/3/14,30.294,30.634
2022/3/11,30.259,30.599
2022/3/10,30.311,30.651
2022/3/9,30.48,30.82
2022/3/8,30.378,30.718
2022/3/7,30.315,30.655
2022/3/4,30.424,30.764
2022/3/3,30.325,30.665
2022/3/2,30.266,30.606
2022/3/1,30.327,30.667
2022/2/25,30.016,30.356
2022/2/24,30.102,30.442
2022/2/23,30.2,30.54
2022/2/22,30.049,30.389
2022/2/21,30.22,30.56
2022/2/18,30.085,30.425
2022/2/17,30.085,30.425
2022/2/16,30.046,30.386
2022/2/15,29.952,30.292
2022/2/14,29.911,30.251
2022/2/11,29.911,30.251
2022/2/10,29.9,30.24
2022/2/9,29.961,30.301
2022/2/8,29.94,30.28
2022/2/7,30,30.34
2022/1/28,29.711,30.051
2022/1/27,29.619,29.959
2022/1/26,29.959,30.299
2022/1/25,29.992,30.332
2022/1/24,30.107,30.447
2022/1/22,30.203,30.543
2022/1/21,30.204,30.544
2022/1/20,30.011,30.351
2022/1/19,29.995,30.335
2022/1/18,29.946,30.286
2022/1/17,29.997,30.337
2022/1/14,30.103,30.443
2022/1/13,30.171,30.511
2022/1/12,30.034,30.374
2022/1/11,29.732,30.072
2022/1/10,29.717,30.057
2022/1/7,29.926,30.266
2022/1/6,29.912,30.252
2022/1/5,29.997,30.337
2022/1/4,29.991,30.331
2022/1/3,29.865,30.205
2021/12/30,30.093,30.433
2021/12/29,30.117,30.457
2021/12/28,29.965,30.305
2021/12/27,30.025,30.365
2021/12/24,29.996,30.336
2021/12/23,30.066,30.406
2021/12/22,29.993,30.333
2021/12/21,29.947,30.287
2021/12/20,30.089,30.429
2021/12/17,29.936,30.276
2021/12/16,29.975,30.315
2021/12/15,29.845,30.185
2021/12/14,29.958,30.298
2021/12/13,29.985,30.325
2021/12/10,29.915,30.255
2021/12/9,29.772,30.112
2021/12/8,29.891,30.231
2021/12/7,29.838,30.178
2021/12/6,29.855,30.195
2021/12/3,29.939,30.279
2021/12/2,30.02,30.36
2021/12/1,30.053,30.393
2021/11/30,29.942,30.282
2021/11/29,29.887,30.227
2021/11/26,30.001,30.341
2021/11/25,29.529,29.869
2021/11/24,29.508,29.848
2021/11/23,29.635,29.975
2021/11/22,29.662,30.002
2021/11/19,29.819,30.159
2021/11/18,29.853,30.193
2021/11/17,29.746,30.086
2021/11/16,29.789,30.129
2021/11/15,29.982,30.322
2021/11/12,30.026,30.366
2021/11/11,30.023,30.363
2021/11/10,30.214,30.554
2021/11/9,30.183,30.523
2021/11/8,30.291,30.631
2021/11/5,30.351,30.691
2021/11/4,30.325,30.665
2021/11/3,30.345,30.685
2021/11/2,30.295,30.635
2021/11/1,30.393,30.733
2021/10/29,30.181,30.521
2021/10/28,30.304,30.644
2021/10/27,30.106,30.446
2021/10/26,30.073,30.413
2021/10/25,30.144,30.484
2021/10/22,30.244,30.584
2021/10/21,30.218,30.558
2021/10/20,30.16,30.5
2021/10/19,30.117,30.457
2021/10/18,30.147,30.487
2021/10/15,30.137,30.477
2021/10/14,30.234,30.574
2021/10/13,30.201,30.541
2021/10/12,30.099,30.439
2021/10/8,30.06,30.4
2021/10/7,29.971,30.311
2021/10/6,29.94,30.28
2021/10/5,29.893,30.233
2021/10/4,29.958,30.298
2021/10/1,29.792,30.132
2021/9/30,29.637,29.977
2021/9/29,29.615,29.955
2021/9/28,29.751,30.091
2021/9/27,29.776,30.116
2021/9/24,29.807,30.147
2021/9/23,29.867,30.207
2021/9/22,29.92,30.26
2021/9/17,29.586,29.926
2021/9/16,29.769,30.109
2021/9/15,29.904,30.244
2021/9/14,29.951,30.291
2021/9/13,29.901,30.241
2021/9/11,30.022,30.362
2021/9/10,29.957,30.297
2021/9/9,30.009,30.349
2021/9/8,29.918,30.258
2021/9/7,29.906,30.246
2021/9/6,29.955,30.295
2021/9/3,30.11,30.45
2021/9/2,30.138,30.478
2021/9/1,30.158,30.498
2021/8/31,30.121,30.461
2021/8/30,30.164,30.504
2021/8/27,30.428,30.768
2021/8/26,30.233,30.573
2021/8/25,30.346,30.686
2021/8/24,30.425,30.765
2021/8/23,30.435,30.775
2021/8/20,30.345,30.685
2021/8/19,30.278,30.618
2021/8/18,30.096,30.436
2021/8/17,30.299,30.639
