紐西蘭幣 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,18.471,18.711
2022/8/25,18.683,18.923
2022/8/24,18.626,18.866
2022/8/23,18.689,18.929
2022/8/22,18.443,18.683
2022/8/19,18.429,18.669
2022/8/18,18.693,18.933
2022/8/17,18.66,18.9
2022/8/16,18.897,19.137
2022/8/15,19.02,19.26
2022/8/12,19.206,19.446
2022/8/11,19.171,19.411
2022/8/10,19.186,19.426
2022/8/9,18.747,18.987
2022/8/8,18.735,18.975
2022/8/5,18.578,18.818
2022/8/4,18.756,18.996
2022/8/3,18.624,18.864
2022/8/2,18.747,18.987
2022/8/1,18.908,19.148
2022/7/29,18.651,18.891
2022/7/28,18.673,18.913
2022/7/27,18.439,18.679
2022/7/26,18.535,18.775
2022/7/25,18.607,18.847
2022/7/22,18.637,18.877
2022/7/21,18.46,18.7
2022/7/20,18.526,18.766
2022/7/19,18.502,18.742
2022/7/18,18.348,18.588
2022/7/15,18.326,18.566
2022/7/14,18.194,18.434
2022/7/13,18.244,18.484
2022/7/12,18.239,18.479
2022/7/11,18.164,18.404
2022/7/8,18.323,18.563
2022/7/7,18.268,18.508
2022/7/6,18.177,18.417
2022/7/5,18.185,18.425
2022/7/4,18.361,18.601
2022/7/1,18.302,18.542
2022/6/30,18.454,18.694
2022/6/29,18.341,18.581
2022/6/28,18.414,18.654
2022/6/27,18.575,18.815
2022/6/24,18.66,18.9
2022/6/23,18.594,18.834
2022/6/22,18.63,18.87
2022/6/21,18.736,18.976
2022/6/20,18.753,18.993
2022/6/17,18.589,18.829
2022/6/16,18.687,18.927
2022/6/15,18.45,18.69
2022/6/14,18.345,18.585
2022/6/13,18.515,18.755
2022/6/10,18.681,18.921
2022/6/9,18.806,19.046
2022/6/8,18.984,19.224
2022/6/7,18.987,19.227
2022/6/6,18.985,19.225
2022/6/2,19.132,19.372
2022/6/1,18.818,19.058
2022/5/31,18.827,19.067
2022/5/30,18.983,19.223
2022/5/27,19.051,19.291
2022/5/26,18.928,19.168
2022/5/25,18.96,19.2
2022/5/24,18.96,19.2
2022/5/23,19.026,19.266
2022/5/20,18.831,19.071
2022/5/19,18.953,19.193
2022/5/18,18.727,18.967
2022/5/17,18.767,19.007
2022/5/16,18.607,18.847
2022/5/13,18.565,18.805
2022/5/12,18.521,18.761
2022/5/11,18.738,18.978
2022/5/10,18.582,18.822
2022/5/9,18.729,18.969
2022/5/6,18.966,19.206
2022/5/5,18.831,19.071
2022/5/4,18.914,19.154
2022/5/3,18.903,19.143
2022/4/29,18.929,19.169
2022/4/28,19.002,19.242
2022/4/27,19.089,19.329
2022/4/26,19.186,19.426
2022/4/25,19.251,19.491
2022/4/22,19.295,19.535
2022/4/21,19.569,19.809
2022/4/20,19.815,20.055
2022/4/19,19.544,19.784
2022/4/18,19.523,19.763
2022/4/15,19.615,19.855
2022/4/14,19.545,19.785
2022/4/13,19.602,19.842
2022/4/12,19.964,20.204
2022/4/11,19.731,19.971
2022/4/8,19.687,19.927
2022/4/7,19.742,19.982
2022/4/6,19.801,20.041
2022/4/1,19.703,19.943
2022/3/31,19.734,19.974
2022/3/30,19.818,20.058
2022/3/29,19.819,20.059
2022/3/28,19.718,19.958
2022/3/25,19.785,20.025
2022/3/24,19.791,20.031
2022/3/23,19.785,20.025
2022/3/22,19.695,19.935
2022/3/21,19.525,19.765
2022/3/18,19.447,19.687
2022/3/17,19.391,19.631
2022/3/16,19.362,19.602
2022/3/15,19.279,19.519
2022/3/14,19.262,19.502
2022/3/11,19.299,19.539
2022/3/10,19.322,19.562
2022/3/9,19.33,19.57
2022/3/8,19.251,19.491
2022/3/7,19.232,19.472
2022/3/4,19.104,19.344
2022/3/3,18.96,19.2
2022/3/2,18.863,19.103
2022/3/1,18.862,19.102
2022/2/25,18.758,18.998
2022/2/24,18.508,18.748
2022/2/23,18.791,19.031
2022/2/22,18.652,18.892
2022/2/21,18.603,18.843
2022/2/18,18.53,18.77
2022/2/17,18.55,18.79
2022/2/16,18.456,18.696
2022/2/15,18.385,18.625
2022/2/14,18.296,18.536
2022/2/11,18.496,18.736
2022/2/10,18.552,18.792
2022/2/9,18.508,18.748
2022/2/8,18.349,18.589
2022/2/7,18.337,18.577
2022/1/28,18.103,18.343
2022/1/27,18.217,18.457
2022/1/26,18.421,18.661
2022/1/25,18.382,18.622
2022/1/24,18.376,18.616
2022/1/22,18.493,18.733
2022/1/21,18.513,18.753
2022/1/20,18.657,18.897
2022/1/19,18.661,18.901
2022/1/18,18.591,18.831
2022/1/17,18.646,18.886
2022/1/14,18.711,18.951
2022/1/13,18.887,19.127
