美金 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,30.18,30.28
2022/8/25,30.15,30.25
2022/8/24,30.22,30.32
2022/8/23,30.155,30.255
2022/8/22,30.055,30.155
2022/8/19,29.97,30.07
2022/8/18,29.96,30.06
2022/8/17,29.945,30.045
2022/8/16,29.95,30.05
2022/8/15,29.94,30.04
2022/8/12,29.94,30.04
2022/8/11,29.905,30.005
2022/8/10,29.97,30.07
2022/8/9,29.95,30.05
2022/8/8,29.955,30.055
2022/8/5,29.915,30.015
2022/8/4,29.955,30.055
2022/8/3,29.955,30.055
2022/8/2,29.96,30.06
2022/8/1,29.93,30.03
2022/7/29,29.892,29.992
2022/7/28,29.89,29.99
2022/7/27,29.893,29.993
2022/7/26,29.87,29.97
2022/7/25,29.865,29.965
2022/7/22,29.88,29.98
2022/7/21,29.84,29.94
2022/7/20,29.85,29.95
2022/7/19,29.855,29.955
2022/7/18,29.868,29.968
2022/7/15,29.9,30
2022/7/14,29.835,29.935
2022/7/13,29.805,29.905
2022/7/12,29.845,29.945
2022/7/11,29.772,29.872
2022/7/8,29.74,29.84
2022/7/7,29.738,29.838
2022/7/6,29.755,29.855
2022/7/5,29.724,29.824
2022/7/4,29.695,29.795
2022/7/1,29.72,29.82
2022/6/30,29.678,29.778
2022/6/29,29.625,29.725
2022/6/28,29.605,29.705
2022/6/27,29.55,29.65
2022/6/24,29.68,29.78
2022/6/23,29.73,29.83
2022/6/22,29.74,29.84
2022/6/21,29.663,29.763
2022/6/20,29.695,29.795
2022/6/17,29.67,29.77
2022/6/16,29.689,29.789
2022/6/15,29.69,29.79
2022/6/14,29.66,29.76
2022/6/13,29.675,29.775
2022/6/10,29.53,29.63
2022/6/9,29.475,29.575
2022/6/8,29.472,29.572
2022/6/7,29.464,29.564
2022/6/6,29.36,29.46
2022/6/2,29.32,29.42
2022/6/1,29.22,29.32
2022/5/31,29.01,29.11
2022/5/30,29.07,29.17
2022/5/27,29.29,29.39
