英鎊 2019/08/29~2022/08/26,,
日期,銀行買入,銀行賣出
2022/8/26,35.347,35.747
2022/8/25,35.533,35.933
2022/8/24,35.525,35.925
2022/8/23,35.572,35.972
2022/8/22,35.188,35.588
2022/8/19,35.275,35.675
2022/8/18,35.734,36.134
2022/8/17,35.908,36.308
2022/8/16,36.064,36.464
2022/8/15,36.049,36.449
2022/8/12,36.193,36.593
2022/8/11,36.396,36.796
2022/8/10,36.571,36.971
2022/8/9,36.073,36.473
2022/8/8,36.088,36.488
2022/8/5,35.932,36.332
2022/8/4,36.208,36.608
2022/8/3,36.184,36.584
2022/8/2,36.478,36.878
2022/8/1,36.582,36.982
2022/7/29,36.212,36.612
2022/7/28,36.102,36.502
2022/7/27,35.8,36.2
2022/7/26,35.797,36.197
2022/7/25,35.818,36.218
2022/7/22,35.74,36.14
2022/7/21,35.548,35.948
2022/7/20,35.629,36.029
2022/7/19,35.746,36.146
2022/7/18,35.675,36.075
2022/7/15,35.297,35.697
2022/7/14,35.181,35.581
2022/7/13,35.36,35.76
2022/7/12,35.39,35.79
2022/7/11,35.27,35.67
2022/7/8,35.64,36.04
2022/7/7,35.543,35.943
2022/7/6,35.265,35.665
2022/7/5,35.32,35.72
2022/7/4,35.812,36.212
2022/7/1,35.676,36.076
2022/6/30,35.952,36.352
2022/6/29,35.814,36.214
2022/6/28,35.949,36.349
2022/6/27,36.202,36.602
2022/6/24,36.294,36.694
2022/6/23,36.272,36.672
2022/6/22,36.385,36.785
2022/6/21,36.273,36.673
2022/6/20,36.241,36.641
2022/6/17,36.035,36.435
2022/6/16,36.45,36.85
2022/6/15,35.66,36.06
2022/6/14,35.434,35.834
2022/6/13,35.94,36.34
2022/6/10,36.225,36.625
2022/6/9,36.771,37.171
2022/6/8,36.85,37.25
2022/6/7,36.935,37.335
2022/6/6,36.674,37.074
2022/6/2,36.7,37.1
2022/6/1,36.282,36.682
2022/5/31,36.456,36.856
2022/5/30,36.663,37.063
2022/5/27,36.792,37.192
2022/5/26,36.885,37.285
2022/5/25,36.837,37.237
2022/5/24,36.92,37.32
2022/5/23,37.009,37.409
2022/5/20,36.813,37.213
2022/5/19,37.042,37.442
2022/5/18,36.671,37.071
2022/5/17,36.899,37.299
2022/5/16,36.356,36.756
2022/5/13,36.296,36.696
2022/5/12,36.261,36.661
2022/5/11,36.421,36.821
2022/5/10,36.396,36.796
2022/5/9,36.425,36.825
2022/5/6,36.442,36.842
2022/5/5,36.245,36.645
2022/5/4,36.688,37.088
2022/5/3,36.754,37.154
2022/4/29,36.878,37.278
2022/4/28,36.538,36.938
2022/4/27,36.64,37.04
2022/4/26,36.804,37.204
2022/4/25,37.095,37.495
2022/4/22,37.367,37.767
2022/4/21,37.905,38.305
2022/4/20,37.991,38.391
2022/4/19,37.8,38.2
2022/4/18,37.818,38.218
2022/4/15,37.84,38.24
2022/4/14,37.657,38.057
2022/4/13,37.793,38.193
2022/4/12,37.816,38.216
2022/4/11,37.686,38.086
2022/4/8,37.473,37.873
2022/4/7,37.453,37.853
2022/4/6,37.382,37.782
2022/4/1,37.422,37.822
2022/3/31,37.422,37.822
2022/3/30,37.386,37.786
2022/3/29,37.614,38.014
2022/3/28,37.426,37.826
2022/3/25,37.545,37.945
2022/3/24,37.503,37.903
2022/3/23,37.506,37.906
2022/3/22,37.616,38.016
2022/3/21,37.393,37.793
2022/3/18,37.148,37.548
2022/3/17,37.046,37.446
2022/3/16,37.318,37.718
2022/3/15,37.189,37.589
2022/3/14,37.056,37.456
2022/3/11,36.943,37.343
2022/3/10,37.01,37.41
2022/3/9,37.247,37.647
2022/3/8,37.03,37.43
2022/3/7,36.928,37.328
2022/3/4,36.953,37.353
2022/3/3,37.267,37.667
2022/3/2,37.205,37.605
2022/3/1,37.282,37.682
2022/2/25,37.337,37.737
2022/2/24,37.092,37.492
2022/2/23,37.611,38.011
2022/2/22,37.602,38.002
2022/2/21,37.684,38.084
2022/2/18,37.635,38.035
2022/2/17,37.744,38.144
2022/2/16,37.663,38.063
2022/2/15,37.51,37.91
2022/2/14,37.505,37.905
2022/2/11,37.678,38.078
2022/2/10,37.603,38.003
2022/2/9,37.521,37.921
2022/2/8,37.506,37.906
2022/2/7,37.437,37.837
2022/1/28,37.058,37.458
2022/1/27,36.967,37.367
2022/1/26,37.246,37.646
2022/1/25,37.161,37.561
2022/1/24,37.092,37.492
2022/1/22,37.33,37.73
2022/1/21,37.349,37.749
2022/1/20,37.496,37.896
2022/1/19,37.493,37.893
2022/1/18,37.311,37.711
2022/1/17,37.456,37.856
2022/1/14,37.577,37.977
2022/1/13,37.751,38.151
2022/1/12,37.653,38.053
2022/1/11,37.431,37.831
2022/1/10,37.271,37.671
2022/1/7,37.363,37.763
2022/1/6,37.179,37.579
2022/1/5,37.24,37.64
2022/1/4,37.192,37.592
2022/1/3,36.929,37.329
2021/12/30,37.161,37.561
2021/12/29,37.119,37.519
2021/12/28,36.953,37.353
2021/12/27,36.984,37.384
2021/12/24,36.959,37.359
2021/12/23,37.1,37.5
2021/12/22,36.854,37.254
2021/12/21,36.649,37.049
2021/12/20,36.606,37.006
2021/12/17,36.638,37.038
2021/12/16,36.858,37.258
2021/12/15,36.535,36.935
2021/12/14,36.578,36.978
2021/12/13,36.652,37.052
2021/12/10,36.493,36.893
2021/12/9,36.373,36.773
2021/12/8,36.403,36.803
2021/12/7,36.567,36.967
2021/12/6,36.564,36.964
2021/12/3,36.438,36.838
2021/12/2,36.748,37.148
2021/12/1,36.782,37.182
2021/11/30,36.594,36.994
2021/11/29,36.796,37.196
2021/11/26,36.909,37.309
2021/11/25,36.809,37.209
2021/11/24,36.854,37.254
2021/11/23,36.916,37.316
2021/11/22,37.036,37.436
2021/11/19,37.201,37.601
2021/11/18,37.273,37.673
2021/11/17,37.257,37.657
2021/11/16,37.125,37.525
2021/11/15,37.126,37.526
2021/11/12,37.088,37.488
2021/11/11,37.082,37.482
2021/11/10,37.325,37.725
2021/11/9,37.364,37.764
2021/11/8,37.561,37.961
2021/11/5,37.419,37.819
2021/11/4,37.417,37.817
2021/11/3,37.828,38.228
2021/11/2,37.742,38.142
2021/11/1,37.913,38.313
2021/10/29,37.843,38.243
2021/10/28,38.217,38.617
2021/10/27,37.979,38.379
2021/10/26,38.166,38.566
2021/10/25,38.184,38.584
2021/10/22,38.118,38.518
2021/10/21,38.311,38.711
2021/10/20,38.377,38.777
2021/10/19,38.32,38.72
2021/10/18,38.213,38.613
2021/10/15,38.331,38.731
2021/10/14,38.216,38.616
2021/10/13,38.169,38.569
2021/10/12,38.067,38.467
2021/10/8,37.992,38.392
2021/10/7,37.882,38.282
2021/10/6,37.747,38.147
2021/10/5,37.809,38.209
2021/10/4,37.693,38.093
2021/10/1,37.587,37.987
2021/9/30,37.281,37.681
2021/9/29,37.156,37.556
2021/9/28,37.412,37.812
2021/9/27,37.789,38.189
2021/9/24,37.722,38.122
2021/9/23,37.914,38.314
2021/9/22,37.708,38.108
2021/9/17,37.944,38.344
2021/9/16,37.948,38.348
2021/9/15,38.09,38.49
2021/9/14,38.14,38.54
2021/9/13,38.153,38.553
2021/9/11,38.153,38.553
2021/9/10,38.093,38.493
2021/9/9,38.148,38.548
2021/9/8,37.922,38.322
2021/9/7,37.862,38.262
2021/9/6,37.965,38.365
2021/9/3,38.151,38.551
2021/9/2,38.14,38.54
2021/9/1,38.041,38.441
2021/8/31,37.956,38.356
2021/8/30,38.038,38.438
2021/8/27,38.231,38.631
2021/8/26,38.087,38.487
2021/8/25,38.081,38.481
2021/8/24,38.142,38.542
2021/8/23,38.169,38.569
2021/8/20,37.947,38.347
2021/8/19,38.013,38.413
2021/8/18,38.063,38.463
2021/8/17,38.081,38.481
2021/8/16,38.374,38.774
2021/8/13,38.4,38.8
2021/8/12,38.261,38.661
2021/8/11,38.395,38.795
2021/8/10,38.324,38.724
2021/8/9,38.347,38.747
2021/8/6,38.361,38.761
2021/8/5,38.482,38.882
2021/8/4,38.481,38.881
2021/8/3,38.595,38.995
2021/8/2,38.599,38.999
2021/7/30,38.673,39.073
2021/7/29,38.838,39.238
2021/7/28,38.647,39.047
2021/7/27,38.724,39.124
2021/7/26,38.587,38.987
2021/7/23,38.341,38.741
2021/7/22,38.307,38.707
2021/7/21,38.21,38.61
2021/7/20,37.978,38.378
2021/7/19,38.146,38.546
2021/7/16,38.401,38.801
2021/7/15,38.449,38.849
2021/7/14,38.626,39.026
2021/7/13,38.514,38.914
2021/7/12,38.672,39.072
2021/7/9,38.618,39.018
2021/7/8,38.344,38.744
2021/7/7,38.362,38.762
2021/7/6,38.285,38.685
2021/7/5,38.433,38.833
2021/7/2,38.393,38.793
