6 skill groups
http://zh.tos.wikia.com/wiki/%E9%97%9C%E5%8D%A1%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/1-500
-   500 skills
--  #1  {{ES1}} : [1]  -> 強化盾 -> 敵人只會受到強化符石的攻擊傷害 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/1
--  #2  {{ES2}} : [1]  -> 溢補盾 -> 召喚師完全回復生命力後，剩餘的回復力會轉化為攻擊力 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/2
--  #3  {{ES3}} : [1]  -> 剋屬盾 ‧ 棄攻轉屬 -> 只有克制敵人屬性的攻擊才會對敵人造成傷害。敵人每隔 1 次 (CD 0) 便會放棄發動攻擊機會，並轉換自身屬性。 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/3
--  #4  {{ES4}} : [1]  -> 召喚小怪 -> 敵人會在 CD 0 時召喚小怪，如果場上有小怪生存，CD 0 時會發動攻擊 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/4
--  #5  {{ES5}} : [1]  -> 雙體共生 -> 雙體共生，只要場上 1 個敵人生存，它會令死去的同伴復活 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/5
--  #6  {{ES6}} : [1]  -> 光暗屬轉換-心剋轉當前 -> 敵人會在 CD 0 時同時發動攻擊和轉屬性，每回合敵人會將符石轉換至與敵人屬性相同。 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/6
--  #7  {{ES7}} : [1]  -> 光暗屬轉換-心剋轉當前 ‧ 吸取生命 -> 敵人會在 CD 0 時同時發動攻擊和轉屬性，每回合敵人會將符石轉換至與敵人屬性相同。如召喚師消除的符石與敵人屬性相同，敵人會吸取召喚師生命力轉化為自身生命力 -> http://zh.tos.wikia.com/wiki/%E6%95%B5%E4%BA%BA%E6%8A%80%E8%83%BD/7
--  #8   : [0]  ->  ->  -> 
--  #9   : [0]  ->  ->  -> 
--  #10   : [0]  ->  ->  -> 
--  #11   : [0]  ->  ->  -> 
