Title = 图像 - 波比滿等滿技. 289,597,795^^.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1403
#14700 = （720 × 1,280像素，文件大小：694 KB，MIME类型：image/png）
u = 600780, => http://zh.tos.wikia.com/wiki/File:%E6%B3%A2%E6%AF%94%E6%BB%BF%E7%AD%89%E6%BB%BF%E6%8A%80._289,597,795%5E%5E.png
Title = 图像 - 波賽頓頭像.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1414
#14701 = （71 × 73像素，文件大小：11 KB，MIME类型：image/png）
u = 滄海水月, => http://zh.tos.wikia.com/wiki/File:%E6%B3%A2%E8%B3%BD%E9%A0%93%E9%A0%AD%E5%83%8F.png
Title = 图像 - 洗出來了.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1436
#14702 = （606 × 315像素，文件大小：74 KB，MIME类型：image/jpeg）
u = Luo.show.wolf, => http://zh.tos.wikia.com/wiki/File:%E6%B4%97%E5%87%BA%E4%BE%86%E4%BA%86.jpg
Title = 图像 - 洗淨黃泉的罪孽.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1435
#14703 = （1,700 × 965像素，文件大小：178 KB，MIME类型：image/jpeg）
u = Btoky, => http://zh.tos.wikia.com/wiki/File:%E6%B4%97%E6%B7%A8%E9%BB%83%E6%B3%89%E7%9A%84%E7%BD%AA%E5%AD%BD.jpg
Title = 图像 - 洗滌慾念心靈.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1438
#14704 = （960 × 544像素，文件大小：98 KB，MIME类型：image/jpeg）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%B4%97%E6%BB%8C%E6%85%BE%E5%BF%B5%E5%BF%83%E9%9D%88.jpg
Title = 图像 - 洛基.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1430
#14705 = （600 × 337像素，文件大小：344 KB，MIME类型：image/png）
u = Wind422, => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%9F%BA.png
Title = 图像 - 洛基的遺憾.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1434
#14706 = （1,200 × 627像素，文件大小：632 KB，MIME类型：image/jpeg）
u = 568736, => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%9F%BA%E7%9A%84%E9%81%BA%E6%86%BE.jpg
